sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"C62C332",,,,,,,,,,,,,,,,,,,,,12.05,0.121,,
"C62C34",,,,,,,,,,,,,,,,,,,,,6.65,0.067,,
"C62C38",,,,,,,,,,,,,,,,,,,,,5.75,0.058,,
"C62C4",,,,,,,,,,,,,,,,,,,,,7234.2,72.342,,
"C62C412",,,,,,,,,,,,,,,,,,,,,7987.25,79.873,,
"C62C5",,,,,,,,,,,,,,,,,,,,,10556.75,105.568,,
"C62C516",,,,,,,,,,,,,,,,,,,,,4.55,0.046,,
"C62C58",,,,,,,,,,,,,,,,,,,,,9.48,0.095,,
"C62C6",,,,,,,,,,,,,,,,,,,,,11042.85,110.429,,
"C62C7",,,,,,,,,,,,,,,,,,,,,11968.45,119.685,,
"C62C716",,,,,,,,,,,,,,,,,,,,,5.25,0.053,,
"C62C732",,,,,,,,,,,,,,,,,,,,,3.85,0.039,,
"C62C78",,,,,,,,,,,,,,,,,,,,,8.1,0.081,,
"C62C8",,,,,,,,,,,,,,,,,,,,,15866.65,158.667,,
"C62C9",,,,,,,,,,,,,,,,,,,,,13466,134.660,,
"C62F14",,,,,,,,,,,,,,,,,,,,,8.53,0.085,,
"C62F18",,,,,,,,,,,,,,,,,,,,,12.05,0.121,,
"C62F316",,,,,,,,,,,,,,,,,,,,,8.88,0.089,,
"C62F38",,,,,,,,,,,,,,,,,,,,,8.83,0.088,,
"C62F516",,,,,,,,,,,,,,,,,,,,,6.95,0.070,,
"C634C1",,,,,,,,,,,,,,,,,,,,,199.98,2.000,,
"C634C10",,,,,,,,,,,,,,,,,,,,,1107.93,11.079,,
"C634C11",,,,,,,,,,,,,,,,,,,,,1538.8,15.388,,
"C634C112",,,,,,,,,,,,,,,,,,,,,151.65,1.517,,
"C634C114",,,,,,,,,,,,,,,,,,,,,153.35,1.534,,
