2021-03-10T12:55:02+00:00 INFO (6): ---------------- START API Cron 10/03/21 12:55:02 ----------------
2021-03-10T13:01:16+00:00 INFO (6): {"status":"success","product_id":6027,"sku":"16MCP10106","message":"Product updated successfully"}
2021-03-10T13:01:22+00:00 INFO (6): {"status":"success","product_id":42722,"sku":"16MCP1054","message":"Product updated successfully"}
2021-03-10T13:01:25+00:00 INFO (6): {"status":"success","product_id":42722,"sku":"16MCP1054","message":"Product updated successfully"}
2021-03-10T13:01:28+00:00 INFO (6): {"status":"success","product_id":6028,"sku":"16MCP2S00","message":"Product updated successfully"}
2021-03-10T13:01:32+00:00 INFO (6): {"status":"success","product_id":6028,"sku":"16MCP2S00","message":"Product updated successfully"}
2021-03-10T13:01:36+00:00 INFO (6): {"status":"success","product_id":6029,"sku":"16MCP4S00","message":"Product updated successfully"}
2021-03-10T13:01:40+00:00 INFO (6): {"status":"success","product_id":6029,"sku":"16MCP4S00","message":"Product updated successfully"}
2021-03-10T13:01:43+00:00 INFO (6): {"status":"success","product_id":6030,"sku":"16MCP800","message":"Product updated successfully"}
2021-03-10T13:01:49+00:00 INFO (6): {"status":"success","product_id":6031,"sku":"16MCP803","message":"Product updated successfully"}
2021-03-10T13:01:52+00:00 INFO (6): {"status":"success","product_id":6030,"sku":"16MCP800","message":"Product updated successfully"}
2021-03-10T13:01:56+00:00 INFO (6): {"status":"success","product_id":6032,"sku":"16MCP8106","message":"Product updated successfully"}
2021-03-10T13:01:58+00:00 INFO (6): {"status":"success","product_id":6031,"sku":"16MCP803","message":"Product updated successfully"}
2021-03-10T13:02:02+00:00 INFO (6): {"status":"success","product_id":6033,"sku":"16MCP837","message":"Product updated successfully"}
2021-03-10T13:02:05+00:00 INFO (6): {"status":"success","product_id":6032,"sku":"16MCP8106","message":"Product updated successfully"}
2021-03-10T13:02:10+00:00 INFO (6): {"status":"success","product_id":6034,"sku":"16MCP854","message":"Product updated successfully"}
2021-03-10T13:02:12+00:00 INFO (6): {"status":"success","product_id":6033,"sku":"16MCP837","message":"Product updated successfully"}
2021-03-10T13:02:19+00:00 INFO (6): {"status":"success","product_id":6034,"sku":"16MCP854","message":"Product updated successfully"}
2021-03-10T13:02:22+00:00 INFO (6): {"status":"success","product_id":6035,"sku":"16MCV855","message":"Product updated successfully"}
2021-03-10T13:02:30+00:00 INFO (6): {"status":"success","product_id":6035,"sku":"16MCV855","message":"Product updated successfully"}
2021-03-10T13:02:34+00:00 INFO (6): {"status":"success","product_id":6036,"sku":"16MFI854","message":"Product updated successfully"}
2021-03-10T13:02:40+00:00 INFO (6): {"status":"success","product_id":6037,"sku":"16MFP1206","message":"Product updated successfully"}
2021-03-10T13:02:41+00:00 INFO (6): {"status":"success","product_id":6036,"sku":"16MFI854","message":"Product updated successfully"}
2021-03-10T13:02:47+00:00 INFO (6): {"status":"success","product_id":6038,"sku":"16MFP837","message":"Product updated successfully"}
2021-03-10T13:02:47+00:00 INFO (6): {"status":"success","product_id":6037,"sku":"16MFP1206","message":"Product updated successfully"}
2021-03-10T13:02:54+00:00 INFO (6): {"status":"success","product_id":6038,"sku":"16MFP837","message":"Product updated successfully"}
2021-03-10T13:02:54+00:00 INFO (6): {"status":"success","product_id":6039,"sku":"18MCI800","message":"Product updated successfully"}
2021-03-10T13:03:01+00:00 INFO (6): {"status":"success","product_id":6039,"sku":"18MCI800","message":"Product updated successfully"}
2021-03-10T13:03:05+00:00 INFO (6): {"status":"success","product_id":6040,"sku":"18MCI854","message":"Product updated successfully"}
2021-03-10T13:03:11+00:00 INFO (6): {"status":"success","product_id":6040,"sku":"18MCI854","message":"Product updated successfully"}
2021-03-10T13:03:12+00:00 INFO (6): {"status":"success","product_id":6041,"sku":"18MCP1000","message":"Product updated successfully"}
2021-03-10T13:03:18+00:00 INFO (6): {"status":"success","product_id":6041,"sku":"18MCP1000","message":"Product updated successfully"}
2021-03-10T13:03:21+00:00 INFO (6): {"status":"success","product_id":6042,"sku":"18MCP800","message":"Product updated successfully"}
2021-03-10T13:03:28+00:00 INFO (6): {"status":"success","product_id":25367,"sku":"18MCP831","message":"Product updated successfully"}
2021-03-10T13:03:30+00:00 INFO (6): {"status":"success","product_id":6042,"sku":"18MCP800","message":"Product updated successfully"}
2021-03-10T13:03:35+00:00 INFO (6): {"status":"success","product_id":6043,"sku":"18MCP854","message":"Product updated successfully"}
2021-03-10T13:03:37+00:00 INFO (6): {"status":"success","product_id":25367,"sku":"18MCP831","message":"Product updated successfully"}
2021-03-10T13:03:44+00:00 INFO (6): {"status":"success","product_id":6043,"sku":"18MCP854","message":"Product updated successfully"}
2021-03-10T13:03:48+00:00 INFO (6): {"status":"success","product_id":6044,"sku":"18MCV855","message":"Product updated successfully"}
2021-03-10T13:03:55+00:00 INFO (6): {"status":"success","product_id":6044,"sku":"18MCV855","message":"Product updated successfully"}
2021-03-10T13:03:59+00:00 INFO (6): {"status":"success","product_id":17807,"sku":"20MCI1054","message":"Product updated successfully"}
2021-03-10T13:04:06+00:00 INFO (6): {"status":"success","product_id":17807,"sku":"20MCI1054","message":"Product updated successfully"}
2021-03-10T13:04:07+00:00 INFO (6): {"status":"success","product_id":6045,"sku":"20MCI2S00","message":"Product updated successfully"}
2021-03-10T13:04:13+00:00 INFO (6): {"status":"success","product_id":6045,"sku":"20MCI2S00","message":"Product updated successfully"}
2021-03-10T13:04:15+00:00 INFO (6): {"status":"success","product_id":6046,"sku":"20MCI4S00","message":"Product updated successfully"}
2021-03-10T13:04:22+00:00 INFO (6): {"status":"success","product_id":6046,"sku":"20MCI4S00","message":"Product updated successfully"}
2021-03-10T13:04:22+00:00 INFO (6): {"status":"success","product_id":6047,"sku":"20MCI800","message":"Product updated successfully"}
2021-03-10T13:04:29+00:00 INFO (6): {"status":"success","product_id":6047,"sku":"20MCI800","message":"Product updated successfully"}
2021-03-10T13:04:32+00:00 INFO (6): {"status":"success","product_id":6048,"sku":"20MCI854","message":"Product updated successfully"}
2021-03-10T13:04:38+00:00 INFO (6): {"status":"success","product_id":6048,"sku":"20MCI854","message":"Product updated successfully"}
2021-03-10T13:04:40+00:00 INFO (6): {"status":"success","product_id":6049,"sku":"20MCP2S00","message":"Product updated successfully"}
2021-03-10T13:04:46+00:00 INFO (6): {"status":"success","product_id":6049,"sku":"20MCP2S00","message":"Product updated successfully"}
2021-03-10T13:04:47+00:00 INFO (6): {"status":"success","product_id":6050,"sku":"20MCP4S00","message":"Product updated successfully"}
2021-03-10T13:04:53+00:00 INFO (6): {"status":"success","product_id":6050,"sku":"20MCP4S00","message":"Product updated successfully"}
2021-03-10T13:04:57+00:00 INFO (6): {"status":"success","product_id":6051,"sku":"20MCP800","message":"Product updated successfully"}
2021-03-10T13:05:06+00:00 INFO (6): {"status":"success","product_id":6052,"sku":"20MCP854","message":"Product updated successfully"}
2021-03-10T13:05:07+00:00 INFO (6): {"status":"success","product_id":6051,"sku":"20MCP800","message":"Product updated successfully"}
2021-03-10T13:05:10+00:00 INFO (6): {"status":"success","product_id":6052,"sku":"20MCP854","message":"Product updated successfully"}
2021-03-10T13:05:13+00:00 INFO (6): {"status":"success","product_id":6053,"sku":"20MCV855","message":"Product updated successfully"}
2021-03-10T13:05:14+00:00 INFO (6): {"status":"success","product_id":6052,"sku":"20MCP854","message":"Product updated successfully"}
2021-03-10T13:05:18+00:00 INFO (6): {"status":"success","product_id":6053,"sku":"20MCV855","message":"Product updated successfully"}
2021-03-10T13:05:22+00:00 INFO (6): {"status":"success","product_id":6054,"sku":"20MFI1054","message":"Product updated successfully"}
2021-03-10T13:05:26+00:00 INFO (6): {"status":"success","product_id":6053,"sku":"20MCV855","message":"Product updated successfully"}
