2021-03-10T15:50:02+00:00 INFO (6): ---------------- START API Cron 10/03/21 15:50:02 ----------------
2021-03-10T15:55:00+00:00 INFO (6): {"status":"success","product_id":28934,"sku":"HKSP12M50","message":"Product updated successfully"}
2021-03-10T15:55:07+00:00 INFO (6): {"status":"success","product_id":30116,"sku":"HKSP14C1","message":"Product updated successfully"}
2021-03-10T15:55:07+00:00 INFO (6): {"status":"success","product_id":30116,"sku":"HKSP14C1","message":"Product updated successfully"}
2021-03-10T15:55:15+00:00 INFO (6): {"status":"success","product_id":30117,"sku":"HKSP14C112","message":"Product updated successfully"}
2021-03-10T15:55:15+00:00 INFO (6): {"status":"success","product_id":30117,"sku":"HKSP14C112","message":"Product updated successfully"}
2021-03-10T15:55:23+00:00 INFO (6): {"status":"success","product_id":41429,"sku":"HKSP14C114","message":"Product updated successfully"}
2021-03-10T15:55:23+00:00 INFO (6): {"status":"success","product_id":41429,"sku":"HKSP14C114","message":"Product updated successfully"}
2021-03-10T15:55:31+00:00 INFO (6): {"status":"success","product_id":30113,"sku":"HKSP14C12","message":"Product updated successfully"}
2021-03-10T15:55:31+00:00 INFO (6): {"status":"success","product_id":30113,"sku":"HKSP14C12","message":"Product updated successfully"}
2021-03-10T15:55:40+00:00 INFO (6): {"status":"success","product_id":30118,"sku":"HKSP14C134","message":"Product updated successfully"}
2021-03-10T15:55:40+00:00 INFO (6): {"status":"success","product_id":30118,"sku":"HKSP14C134","message":"Product updated successfully"}
2021-03-10T15:55:48+00:00 INFO (6): {"status":"success","product_id":41427,"sku":"HKSP14C14","message":"Product updated successfully"}
2021-03-10T15:55:48+00:00 INFO (6): {"status":"success","product_id":41427,"sku":"HKSP14C14","message":"Product updated successfully"}
2021-03-10T15:55:56+00:00 INFO (6): {"status":"success","product_id":30119,"sku":"HKSP14C2","message":"Product updated successfully"}
2021-03-10T15:55:56+00:00 INFO (6): {"status":"success","product_id":30119,"sku":"HKSP14C2","message":"Product updated successfully"}
2021-03-10T15:56:04+00:00 INFO (6): {"status":"success","product_id":30110,"sku":"HKSP14C316","message":"Product updated successfully"}
2021-03-10T15:56:04+00:00 INFO (6): {"status":"success","product_id":30110,"sku":"HKSP14C316","message":"Product updated successfully"}
2021-03-10T15:56:12+00:00 INFO (6): {"status":"success","product_id":30114,"sku":"HKSP14C34","message":"Product updated successfully"}
2021-03-10T15:56:12+00:00 INFO (6): {"status":"success","product_id":30114,"sku":"HKSP14C34","message":"Product updated successfully"}
2021-03-10T15:56:20+00:00 INFO (6): {"status":"success","product_id":30112,"sku":"HKSP14C38","message":"Product updated successfully"}
2021-03-10T15:56:20+00:00 INFO (6): {"status":"success","product_id":30112,"sku":"HKSP14C38","message":"Product updated successfully"}
2021-03-10T15:56:27+00:00 INFO (6): {"status":"success","product_id":30111,"sku":"HKSP14C516","message":"Product updated successfully"}
2021-03-10T15:56:27+00:00 INFO (6): {"status":"success","product_id":30111,"sku":"HKSP14C516","message":"Product updated successfully"}
2021-03-10T15:56:35+00:00 INFO (6): {"status":"success","product_id":41428,"sku":"HKSP14C58","message":"Product updated successfully"}
2021-03-10T15:56:35+00:00 INFO (6): {"status":"success","product_id":41428,"sku":"HKSP14C58","message":"Product updated successfully"}
2021-03-10T15:56:43+00:00 INFO (6): {"status":"success","product_id":30115,"sku":"HKSP14C78","message":"Product updated successfully"}
2021-03-10T15:56:43+00:00 INFO (6): {"status":"success","product_id":30115,"sku":"HKSP14C78","message":"Product updated successfully"}
2021-03-10T15:56:51+00:00 INFO (6): {"status":"success","product_id":29926,"sku":"HKSP1C1","message":"Product updated successfully"}
2021-03-10T15:56:51+00:00 INFO (6): {"status":"success","product_id":29926,"sku":"HKSP1C1","message":"Product updated successfully"}
2021-03-10T15:56:59+00:00 INFO (6): {"status":"success","product_id":29927,"sku":"HKSP1C112","message":"Product updated successfully"}
2021-03-10T15:56:59+00:00 INFO (6): {"status":"success","product_id":29927,"sku":"HKSP1C112","message":"Product updated successfully"}
2021-03-10T15:57:08+00:00 INFO (6): {"status":"success","product_id":29928,"sku":"HKSP1C2","message":"Product updated successfully"}
2021-03-10T15:57:08+00:00 INFO (6): {"status":"success","product_id":29928,"sku":"HKSP1C2","message":"Product updated successfully"}
2021-03-10T15:57:16+00:00 INFO (6): {"status":"success","product_id":41419,"sku":"HKSP1C3","message":"Product updated successfully"}
2021-03-10T15:57:16+00:00 INFO (6): {"status":"success","product_id":41419,"sku":"HKSP1C3","message":"Product updated successfully"}
2021-03-10T15:57:24+00:00 INFO (6): {"status":"success","product_id":29918,"sku":"HKSP34C1","message":"Product updated successfully"}
2021-03-10T15:57:24+00:00 INFO (6): {"status":"success","product_id":29918,"sku":"HKSP34C1","message":"Product updated successfully"}
2021-03-10T15:57:32+00:00 INFO (6): {"status":"success","product_id":29920,"sku":"HKSP34C112","message":"Product updated successfully"}
2021-03-10T15:57:32+00:00 INFO (6): {"status":"success","product_id":29920,"sku":"HKSP34C112","message":"Product updated successfully"}
2021-03-10T15:57:40+00:00 INFO (6): {"status":"success","product_id":29919,"sku":"HKSP34C114","message":"Product updated successfully"}
2021-03-10T15:57:40+00:00 INFO (6): {"status":"success","product_id":29919,"sku":"HKSP34C114","message":"Product updated successfully"}
