2021-03-01T20:00:02+00:00 INFO (6): ---------------- START API Cron 01/03/21 20:00:02 ----------------
2021-03-01T20:00:16+00:00 INFO (6): {"status":"success","product_id":20622,"sku":"FORGB12","message":"Product updated successfully"}
2021-03-01T20:00:30+00:00 INFO (6): {"status":"success","product_id":20623,"sku":"FORGB17","message":"Product updated successfully"}
2021-03-01T20:00:43+00:00 INFO (6): {"status":"success","product_id":20624,"sku":"FORGB20","message":"Product updated successfully"}
2021-03-01T20:00:56+00:00 INFO (6): {"status":"success","product_id":20164,"sku":"FORPCBB12","message":"Product updated successfully"}
2021-03-01T20:01:10+00:00 INFO (6): {"status":"success","product_id":20165,"sku":"FORPCBB17","message":"Product updated successfully"}
2021-03-01T20:01:23+00:00 INFO (6): {"status":"success","product_id":20166,"sku":"FORPCBR12","message":"Product updated successfully"}
2021-03-01T20:01:36+00:00 INFO (6): {"status":"success","product_id":20167,"sku":"FORPCBR17","message":"Product updated successfully"}
2021-03-01T20:01:50+00:00 INFO (6): {"status":"success","product_id":20168,"sku":"FORPCBW12","message":"Product updated successfully"}
2021-03-01T20:02:03+00:00 INFO (6): {"status":"success","product_id":20169,"sku":"FORPCBW17","message":"Product updated successfully"}
2021-03-01T20:02:15+00:00 INFO (6): {"status":"success","product_id":30108,"sku":"HKSP10C1","message":"Product updated successfully"}
2021-03-01T20:02:27+00:00 INFO (6): {"status":"success","product_id":30109,"sku":"HKSP10C114","message":"Product updated successfully"}
2021-03-01T20:02:38+00:00 INFO (6): {"status":"success","product_id":30105,"sku":"HKSP10C12","message":"Product updated successfully"}
2021-03-01T20:02:50+00:00 INFO (6): {"status":"success","product_id":30103,"sku":"HKSP10C14","message":"Product updated successfully"}
2021-03-01T20:03:02+00:00 INFO (6): {"status":"success","product_id":30102,"sku":"HKSP10C316","message":"Product updated successfully"}
2021-03-01T20:03:14+00:00 INFO (6): {"status":"success","product_id":30107,"sku":"HKSP10C34","message":"Product updated successfully"}
2021-03-01T20:03:25+00:00 INFO (6): {"status":"success","product_id":41425,"sku":"HKSP10C38","message":"Product updated successfully"}
2021-03-01T20:03:37+00:00 INFO (6): {"status":"success","product_id":30104,"sku":"HKSP10C516","message":"Product updated successfully"}
2021-03-01T20:03:49+00:00 INFO (6): {"status":"success","product_id":30106,"sku":"HKSP10C58","message":"Product updated successfully"}
2021-03-01T20:04:01+00:00 INFO (6): {"status":"success","product_id":41426,"sku":"HKSP10C78","message":"Product updated successfully"}
2021-03-01T20:04:13+00:00 INFO (6): {"status":"success","product_id":29442,"sku":"HKSP12C1","message":"Product updated successfully"}
2021-03-01T20:04:25+00:00 INFO (6): {"status":"success","product_id":41375,"sku":"HKSP12C112","message":"Product updated successfully"}
2021-03-01T20:04:36+00:00 INFO (6): {"status":"success","product_id":29443,"sku":"HKSP12C114","message":"Product updated successfully"}
2021-03-01T20:04:48+00:00 INFO (6): {"status":"success","product_id":29439,"sku":"HKSP12C12","message":"Product updated successfully"}
2021-03-01T20:05:00+00:00 INFO (6): {"status":"success","product_id":29444,"sku":"HKSP12C134","message":"Product updated successfully"}
2021-03-01T20:05:13+00:00 INFO (6): {"status":"success","product_id":29445,"sku":"HKSP12C2","message":"Product updated successfully"}
2021-03-01T20:05:19+00:00 INFO (6): {"status":"success","product_id":29445,"sku":"HKSP12C2","message":"Product updated successfully"}
2021-03-01T20:05:25+00:00 INFO (6): {"status":"success","product_id":29446,"sku":"HKSP12C212","message":"Product updated successfully"}
2021-03-01T20:05:31+00:00 INFO (6): {"status":"success","product_id":29446,"sku":"HKSP12C212","message":"Product updated successfully"}
2021-03-01T20:05:38+00:00 INFO (6): {"status":"success","product_id":41374,"sku":"HKSP12C34","message":"Product updated successfully"}
2021-03-01T20:05:44+00:00 INFO (6): {"status":"success","product_id":41374,"sku":"HKSP12C34","message":"Product updated successfully"}
2021-03-01T20:05:50+00:00 INFO (6): {"status":"success","product_id":29438,"sku":"HKSP12C38","message":"Product updated successfully"}
2021-03-01T20:05:57+00:00 INFO (6): {"status":"success","product_id":29438,"sku":"HKSP12C38","message":"Product updated successfully"}
