sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
UPOP401,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,P.40 BODY FILLER FOR HOLES TIN 600ML,Catalog, Search,1,2.5,no,upop401,1000
UCRX932U4,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,MICROFIBRE CLOTHS 30 X 40CM (PACK 6),Catalog, Search,1,2.5,no,ucrx932u4,1000
SCJ316524,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/CLEANING PRODUCTS",base,MR MUSCLE MULTI-SURFACE CLEANER 750ML,Catalog, Search,1,2.5,no,scj316524,1000
SCJ316526,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/CLEANING PRODUCTS",base,MR MUSCLE WASHROOM CLEANER 750ML,Catalog, Search,1,2.5,no,scj316526,1000
UCRX110U1D,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,HANDY SPONGES (PACK 5),Catalog, Search,1,2.5,no,ucrx110u1d,1000
MEMFN4Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M4 (BOX 2000),Catalog, Search,1,2.5,no,memfn4z,1000
MEMLN10Z,FRANCISKIRK,simple,"NUTS/HEX NUTS",base,HEXAGON LOCK NUT ZP M10 (BOX 500),Catalog, Search,1,2.5,no,memln10z,1000
FORSPETF150G,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,SPECTRE TIMBERFIX SCREW 6.3 X 150MM (BOX 50),Catalog, Search,1,2.5,no,forspetf150g,1000
MEMHTB645Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M6 X 45MM (BOX 200),Catalog, Search,1,2.5,no,memhtb645z,1000
GRPASSKIT,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,PLASTERBOARD FIXINGS ASSORTED KIT, 32 PIECE,Catalog, Search,1,2.5,no,grpasskit,1000
TWX53328,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,REDLINE WHEEL CLEANER 750ML,Catalog, Search,1,2.5,no,twx53328,1000
FAIAUFUNNEL,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/ENGINE CONSUMABLES & FUEL PRODUCTS",base,PLASTIC FUNNEL 200MM,Catalog, Search,1,2.5,no,faiaufunnel,1000
PKT000279,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/CYCLING CONSUMABLES",base,CYCLING CHAIN OIL - ULTRA 100ML,Catalog, Search,1,2.5,no,pkt000279,1000
UCRPSPONGE,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,POP-UP JUMBO SPONGE - VACUUM PACKED,Catalog, Search,1,2.5,no,ucrpsponge,1000
PKT000270,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/CYCLING CONSUMABLES",base,CYCLING SHINE & PROTECT 400ML,Catalog, Search,1,2.5,no,pkt000270,1000
TWX52738,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,POWER OUT! CARPET & MATS CLEANER 400ML,Catalog, Search,1,2.5,no,twx52738,1000
FORDS4575,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,DECKING SCREW POZI COMPATIBLE ST GREEN ANTI-CORROSION 4.5 X 75MM BOX 200,Catalog, Search,1,2.5,no,fords4575,1000
VIT331061,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/DUST MASKS - FFP1 PROTECTION",base,PREMIUM VALVED MOULDED PAINT & ODOUR MASK FFP1,Catalog, Search,1,2.5,no,vit331061,1000
PKT090307,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GENERAL CAR MAINTENANCE",base,PRO CERAMIC GREASE SPRAY 500ML,Catalog, Search,1,2.5,no,pkt090307,1000
PKT090308,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GENERAL CAR MAINTENANCE",base,PRO TAR SPRAY 500ML,Catalog, Search,1,2.5,no,pkt090308,1000
UPOEASY,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/GLASS FIBRE RESIN & CAR BODY FILLER",base,EASY 1 BODY FILLER 3 LITRE,Catalog, Search,1,2.5,no,upoeasy,1000
UNI1554712,FRANCISKIRK,simple,"CLEANING PRODUCTS/CLEANING & HEATING/DEHUMIDIFIERS & MOISTURE ABSORBERS",base,SMALL MOISTURE ABSORBER NEUTRAL POWER TAB REFILL (PACK 2),Catalog, Search,1,2.5,no,uni1554712,1000
FORDS4550GT,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,FORGEFAST TORX COMPATIBLE DECKING SCREWS CSK GREEN 4.5X50 T25 TUB 600,Catalog, Search,1,2.5,no,fords4550gt,1000
GRGGTAW11,FRANCISKIRK,simple,"ANCHORING PRODUCTS/WATERPROOF TAPE",base,GORILLA TAPE ALL-WEATHER EXTREME 48MM X 11M BLACK,Catalog, Search,1,2.5,no,grggtaw11,1000
RAWM6EYEB,FRANCISKIRK,simple,"ANCHORING PRODUCTS/FIXINGS/HOOK & EYE MASONRY FIXINGS",base,RAWLBOLT EYE BOLT M6 (BAG 5),Catalog, Search,1,2.5,no,rawm6eyeb,1000
16MCP1054,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,16MM - PHILIDAS TURRET GRADE 10 NUT -ZINC & YELLOW,Catalog, Search,1,172.5,no,16mcp1054,1000
30MCP1054,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,30MM TURRET GRADE 10 PHILIDAS NUTS ZINC & YELLOW,Catalog, Search,1,2500,no,30mcp1054,1000
22MFI1054,FRANCISKIRK,simple,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",base,22MM INDUSTRIAL FINE PITCH GRADE 10 Z & Y PHILIDAS,Catalog, Search,1,2500,no,22mfi1054,1000
22MFP854,FRANCISKIRK,simple,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",base,22MM TURRET FINE PITCH ZINC YELLOW PHILIDAS,Catalog, Search,1,2500,no,22mfp854,1000
VIL150730,FRANCISKIRK,simple,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS/MOPS",base,SUPERMOCIO 3ACTION XL REFILL,Catalog, Search,1,2.5,no,vil150730,1000
M9432,FRANCISKIRK,simple,"PPE/FACE MASKS/FULL FACE MASK",base,MOLDEX 9432 ABEK1P3 FULL FACE MASK M,Catalog, Search,1,194.28,no,m9432,1000
M9995,FRANCISKIRK,simple,"PPE/FACE MASKS/FACE MASK STORAGE BOX",base,MOLDEX 9995 FULL FACE MASK STORAGE BOX,Catalog, Search,1,11.48,no,m9995,1000
VIT333150,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,TAPERED DISPOSABLE EARPLUGS 33 DB (100 PAIRS),Catalog, Search,1,2.5,no,vit333150,1000
MEMCAP24150,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 150MM (BOX 10),Catalog, Search,1,2.5,no,memcap24150,1000
MEMCAP16120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 120MM (BOX 25),Catalog, Search,1,2.5,no,memcap16120z,1000
MEMCAP860,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 60MM (BOX 100),Catalog, Search,1,2.5,no,memcap860,1000
MEMCAP2010Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap2010z,1000
MEMCAP1240,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 40MM (BOX 50),Catalog, Search,1,2.5,no,memcap1240,1000
MEMCAP1045Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 45MM (BOX 100),Catalog, Search,1,2.5,no,memcap1045z,1000
MEMCAP1065Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 65MM (BOX 100),Catalog, Search,1,2.5,no,memcap1065z,1000
MEMCAP1225,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 25MM (BOX 100),Catalog, Search,1,2.5,no,memcap1225,1000
MEMCAP1235Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 35MM (BOX 100),Catalog, Search,1,2.5,no,memcap1235z,1000
MEMCAP1250Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 50MM (BOX 50),Catalog, Search,1,2.5,no,memcap1250z,1000
MEMCAP1270,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 70MM (BOX 50),Catalog, Search,1,2.5,no,memcap1270,1000
MEMCAP1290,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 90MM (BOX 50),Catalog, Search,1,2.5,no,memcap1290,1000
MEMCAP16120,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 120MM (BOX 25),Catalog, Search,1,2.5,no,memcap16120,1000
MEMCAP1645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 45MM (BOX 25),Catalog, Search,1,2.5,no,memcap1645z,1000
MEMCAP1660Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 60MM (BOX 25),Catalog, Search,1,2.5,no,memcap1660z,1000
MEMCAP1675,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 75MM (BOX 25),Catalog, Search,1,2.5,no,memcap1675,1000
MEMCAP20100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 100MM (BOX 25),Catalog, Search,1,2.5,no,memcap20100,1000
MEMCAP1030Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap1030z,1000
