sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
30MFV1055,FRANCISKIRK,simple,"NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",base,30MM MARK V FINE PITCH GRADE 10 Z & Y PHILIDAS,Catalog, Search,1,2500,no,30mfv1055,1000
20MFV1055,FRANCISKIRK,simple,"NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",base,M20 X - 1.5 PITCH GRADE 10 MARK V PHILIDAS NUT Z&Y,Catalog, Search,1,2500,no,20mfv1055,1000
LTHMP009601,FRANCISKIRK,simple,"ANCHORING PRODUCTS/HOUSEHOLD FIXINGS",base,FIXED WALL MOUNT FOR FLAT PANEL TVS,Catalog, Search,1,2.5,no,lthmp009601,1000
MEMCAP10100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 100MM (BOX 50),Catalog, Search,1,2.5,no,memcap10100,1000
MEMCAP10100Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 100MM (BOX 50),Catalog, Search,1,2.5,no,memcap10100z,1000
MEMCAP10120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 120MM (BOX 50),Catalog, Search,1,2.5,no,memcap10120z,1000
MEMCAP1016Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 16MM (BOX 200),Catalog, Search,1,2.5,no,memcap1016z,1000
MEMCAP1020,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap1020,1000
MEMCAP1025,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 25MM (BOX 200),Catalog, Search,1,2.5,no,memcap1025,1000
MEMCAP1030,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap1030,1000
MEMCAP1035,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 35MM (BOX 200),Catalog, Search,1,2.5,no,memcap1035,1000
MEMCAP1035Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 35MM (BOX 200),Catalog, Search,1,2.5,no,memcap1035z,1000
MEMCAP1040,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 40MM (BOX 100),Catalog, Search,1,2.5,no,memcap1040,1000
MEMCAP1040Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 40MM (BOX 100),Catalog, Search,1,2.5,no,memcap1040z,1000
MEMCAP1050,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 50MM (BOX 100),Catalog, Search,1,2.5,no,memcap1050,1000
MEMCAP1050Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 50MM (BOX 100),Catalog, Search,1,2.5,no,memcap1050z,1000
MEMCAP1060,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 60MM (BOX 100),Catalog, Search,1,2.5,no,memcap1060,1000
MEMCAP1060Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 60MM (BOX 100),Catalog, Search,1,2.5,no,memcap1060z,1000
MEMCAP1070,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 70MM (BOX 100),Catalog, Search,1,2.5,no,memcap1070,1000
MEMCAP1070Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 70MM (BOX 100),Catalog, Search,1,2.5,no,memcap1070z,1000
MEMCAP1080,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 80MM (BOX 100),Catalog, Search,1,2.5,no,memcap1080,1000
MEMCAP1080Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 80MM (BOX 100),Catalog, Search,1,2.5,no,memcap1080z,1000
MEMCAP12100Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 100MM (BOX 50),Catalog, Search,1,2.5,no,memcap12100z,1000
MEMCAP12110,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 110MM (BOX 50),Catalog, Search,1,2.5,no,memcap12110,1000
TREAIRP1,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/RESPIRATORS",base,THP2 FILTER PACK (PAIR),Catalog, Search,1,2.5,no,treairp1,1000
TREAIRPRO,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/RESPIRATORS",base,AIR/PRO AIRSHIELD PRO POWERED RESPIRATOR,Catalog, Search,1,2.5,no,treairpro,1000
MEMHTB16180Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 180MM (BOX 20),Catalog, Search,1,2.5,no,memhtb16180z,1000
MEMHTB16200Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 200MM (BOX 10),Catalog, Search,1,2.5,no,memhtb16200z,1000
MEMHTB1650Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 50MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1650z,1000
MEMHTB1655Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 55MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1655z,1000
MEMHTB1660Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 60MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1660z,1000
MEMHTB1670Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 70MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1670z,1000
MEMHTB1675Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 75MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1675z,1000
MEMHTB1680Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 80MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1680z,1000
MEMHTB1690Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 90MM (BOX 25),Catalog, Search,1,2.5,no,memhtb1690z,1000
MEMHTB20110Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 110MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20110z,1000
MEMHTB20120Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 120MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20120z,1000
MEMHTB20130Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 130MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20130z,1000
MEMHTB20140Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 140MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20140z,1000
MEMHTB20160Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 160MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20160z,1000
MEMHTB20180Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 180MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20180z,1000
MEMHTB20200Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 200MM (BOX 10),Catalog, Search,1,2.5,no,memhtb20200z,1000
TRESTEALTH,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/RESPIRATORS",base,AIR STEALTH HALF MASK MEDIUM/LARGE,Catalog, Search,1,2.5,no,trestealth,1000
TRESTEALTH1,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/RESPIRATORS",base,AIR STEALTH P3 FILTER 1 OFF PAIR,Catalog, Search,1,2.5,no,trestealth1,1000
TRESTEALTH3,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/RESPIRATORS",base,AIR STEALTH P3(R) NUISANCE FILTER 1 OFF PAIR,Catalog, Search,1,2.5,no,trestealth3,1000
VIT331011,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/DUST MASKS - FFP1 PROTECTION",base,MOULDED SANDING & INSULATION MASK FFP1,Catalog, Search,1,2.5,no,vit331011,1000
VIT331041,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/DUST MASKS - FFP2 PROTECTION",base,PREMIUM VALVED MOULDED POWER TOOL & MDF MASK,Catalog, Search,1,2.5,no,vit331041,1000
MEMCAP2080,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 80MM (BOX 25),Catalog, Search,1,2.5,no,memcap2080,1000
MEMCAP2090,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 90MM (BOX 25),Catalog, Search,1,2.5,no,memcap2090,1000
MEMCAP24120,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 120MM (BOX 10),Catalog, Search,1,2.5,no,memcap24120,1000
MEMCAP24130,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 130MM (BOX 10),Catalog, Search,1,2.5,no,memcap24130,1000
MEMCAP24140,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 140MM (BOX 10),Catalog, Search,1,2.5,no,memcap24140,1000
MEMCAP24180,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 180MM (BOX 10),Catalog, Search,1,2.5,no,memcap24180,1000
MEMCAP30100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 100MM (SINGLE),Catalog, Search,1,2.5,no,memcap30100,1000
MEMCAP30110,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 110MM (SINGLE),Catalog, Search,1,2.5,no,memcap30110,1000
MEMCAP30120,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 120MM (SINGLE),Catalog, Search,1,2.5,no,memcap30120,1000
MEMCAP30160,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 160MM (SINGLE),Catalog, Search,1,2.5,no,memcap30160,1000
MEMCAP412Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M4 X 12MM (BOX 200),Catalog, Search,1,2.5,no,memcap412z,1000
MEMCAP420Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M4 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap420z,1000
MEMCAP4530Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap4530z,1000
MEMCAP510Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 10MM (BOX 200),Catalog, Search,1,2.5,no,memcap510z,1000
MEMCAP512Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 12MM (BOX 200),Catalog, Search,1,2.5,no,memcap512z,1000
MEMCAP516Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 16MM (BOX 200),Catalog, Search,1,2.5,no,memcap516z,1000
VIT331241,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/DUST MASKS - FFP3 PROTECTION",base,PREMIUM MULTIPURPOSE VALVED FOLD FLAT MASK FFP3,Catalog, Search,1,2.5,no,vit331241,1000
VIT332100,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY GLASSES",base,SAFETY GLASSES - CLEAR,Catalog, Search,1,2.5,no,vit332100,1000
VIT332102,FRANCISKIRK,simple,"PPE/SAFETY GOGGLES",base,SAFETY GOGGLES - CLEAR,Catalog, Search,1,2.5,no,vit332102,1000
VIT332104,FRANCISKIRK,simple,"PPE/SAFETY GOGGLES",base,PREMIUM SAFETY GOGGLES,Catalog, Search,1,2.5,no,vit332104,1000
VIT332108,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY GLASSES",base,PREMIUM SAFETY GLASSES - CLEAR,Catalog, Search,1,2.5,no,vit332108,1000
FORB65GB212,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/ROOFING NAILS & ACCESSORIES",base,BATTEN NAILS GALVANISED 65 X 2.65MM (2.5KG BAG),Catalog, Search,1,2.5,no,forb65gb212,1000
FORC26530GB2,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/ROOFING NAILS & ACCESSORIES",base,MULTIPURPOSE CLOUT NAILS GALVANISED 30 X 2.65MM (2.5KG BAG),Catalog, Search,1,2.5,no,forc26530gb2,1000
MEMCAP865Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 65MM (BOX 100),Catalog, Search,1,2.5,no,memcap865z,1000
MEMCAP870Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 70MM (BOX 100),Catalog, Search,1,2.5,no,memcap870z,1000
MEMFN10Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M10 (BOX 100),Catalog, Search,1,2.5,no,memfn10z,1000
MEMFN12Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M12 (BOX 100),Catalog, Search,1,2.5,no,memfn12z,1000
MEMFN14Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M14 (BOX 100),Catalog, Search,1,2.5,no,memfn14z,1000
MEMFN16Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M16 (BOX 100),Catalog, Search,1,2.5,no,memfn16z,1000
MEMFN24Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M24 (BOX 25),Catalog, Search,1,2.5,no,memfn24z,1000
MEMFN30Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M30 (BOX 10),Catalog, Search,1,2.5,no,memfn30z,1000
MEMFN5Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M5 (BOX 1000),Catalog, Search,1,2.5,no,memfn5z,1000
MEMFN6Z,FRANCISKIRK,simple,"NUTS/HEX NUTS/FULL NUTS",base,HEXAGON FULL NUT ZP M6 (BOX 500),Catalog, Search,1,2.5,no,memfn6z,1000
MEMHTB10100Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 100MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10100z,1000
MEMHTB10110Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 110MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10110z,1000
MEMHTB10120Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 120MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10120z,1000
MEMHTB10140Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 140MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10140z,1000
MEMHTB10150Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 150MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10150z,1000
MEMHTB10200Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 200MM (BOX 50),Catalog, Search,1,2.5,no,memhtb10200z,1000
MEMHTB1030Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M10 X 30MM (BOX 100),Catalog, Search,1,2.5,no,memhtb1030z,1000
VIT333100,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,EAR PROTECTORS,Catalog, Search,1,2.5,no,vit333100,1000
VIT333120,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,EAR CAPS WITH FOLDABLE HEADBAND SNR 24 DB,Catalog, Search,1,2.5,no,vit333120,1000
VIT333130,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,CORDED DISPOSABLE EARPLUGS SNR 33 DB (2 PAIRS),Catalog, Search,1,2.5,no,vit333130,1000
VIT333140,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/EAR DEFENDERS & EARPLUGS",base,TAPERED DISPOSABLE EARPLUGS SNR 33 DB (5 PAIRS),Catalog, Search,1,2.5,no,vit333140,1000
VIT334100,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY SHIELDS",base,SAFETY SHIELD,Catalog, Search,1,2.5,no,vit334100,1000
VIT334105,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY SHIELDS",base,SPARE VISOR FOR 334100,Catalog, Search,1,2.5,no,vit334105,1000
VIT334130,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY HELMETS",base,SAFETY HELMET - YELLOW,Catalog, Search,1,2.5,no,vit334130,1000
VIT334150,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/SAFETY SHIELDS",base,VISOR COMBINATION KIT,Catalog, Search,1,2.5,no,vit334150,1000
VIT336100,FRANCISKIRK,simple,"PPE/SAFETY GOGGLES/ACCESSORIES",base,GENERAL-PURPOSE SAFETY KIT,Catalog, Search,1,2.5,no,vit336100,1000
FORC30CB1,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/ROOFING NAILS & ACCESSORIES",base,MULTI-PURPOSE CLOUT NAILS COPPER 30 X 2.65MM (1KG BAG),Catalog, Search,1,2.5,no,forc30cb1,1000
FORC30GB500,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/ROOFING NAILS & ACCESSORIES",base,CLOUT NAIL GALVANISED 30MM (500G BAG),Catalog, Search,1,2.5,no,forc30gb500,1000
FORC330CB1,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS/ROOFING NAILS & ACCESSORIES",base,MULTI-PURPOSE CLOUT NAILS COPPER 30 X 3.0MM (1KG BAG),Catalog, Search,1,2.5,no,forc330cb1,1000
MEMCAP12120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 120MM (BOX 50),Catalog, Search,1,2.5,no,memcap12120z,1000
MEMCAP12130,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 130MM (BOX 50),Catalog, Search,1,2.5,no,memcap12130,1000
MEMCAP12180,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 180MM (BOX 50),Catalog, Search,1,2.5,no,memcap12180,1000
MEMCAP1225Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 25MM (BOX 100),Catalog, Search,1,2.5,no,memcap1225z,1000
MEMCAP1230,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 30MM (BOX 100),Catalog, Search,1,2.5,no,memcap1230,1000
MEMCAP1230Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 30MM (BOX 100),Catalog, Search,1,2.5,no,memcap1230z,1000
MEMCAP1235,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 35MM (BOX 100),Catalog, Search,1,2.5,no,memcap1235,1000
MEMCAP1240Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 40MM (BOX 50),Catalog, Search,1,2.5,no,memcap1240z,1000
MEMCAP1245,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 45MM (BOX 50),Catalog, Search,1,2.5,no,memcap1245,1000
MEMCAP1245Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 45MM (BOX 50),Catalog, Search,1,2.5,no,memcap1245z,1000
MEMCAP1250,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 50MM (BOX 50),Catalog, Search,1,2.5,no,memcap1250,1000
MEMCAP1255,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 55MM (BOX 50),Catalog, Search,1,2.5,no,memcap1255,1000
MEMCAP1255Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 55MM (BOX 50),Catalog, Search,1,2.5,no,memcap1255z,1000
MEMCAP1260,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 60MM (BOX 50),Catalog, Search,1,2.5,no,memcap1260,1000
MEMCAP1260Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 60MM (BOX 50),Catalog, Search,1,2.5,no,memcap1260z,1000
MEMCAP1270Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 70MM (BOX 50),Catalog, Search,1,2.5,no,memcap1270z,1000
FORCS8240,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,WAFER HEAD TORX COMPATIBLE CONSTRUCTION T40 SCREWS TAN 8X240MM TUB 30,Catalog, Search,1,2.5,no,forcs8240,1000
FORDISCRIVC,FRANCISKIRK,simple,"NAILS, PINS & FIXINGS/NAILS",base,COPPER DISC RIVETS 20 X 20 X 1.5MM (BAG 100),Catalog, Search,1,2.5,no,fordiscrivc,1000
FORDS4550,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,DECKING SCREW POZI COMPATIBLE ST GREEN ANTI-CORROSION 4.5 X 50MM BOX 200,Catalog, Search,1,2.5,no,fords4550,1000
FORDS4550TT,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,FORGEFAST TORX COMPATIBLE DECKING SCREWS CSK TAN 4.5X50 T25 TUB 600,Catalog, Search,1,2.5,no,fords4550tt,1000
MEMCAP610Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 10MM (BOX 200),Catalog, Search,1,2.5,no,memcap610z,1000
MEMCAP612Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 12MM (BOX 200),Catalog, Search,1,2.5,no,memcap612z,1000
MEMCAP616,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 16MM (BOX 200),Catalog, Search,1,2.5,no,memcap616,1000
MEMCAP616Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 16MM (BOX 200),Catalog, Search,1,2.5,no,memcap616z,1000
MEMCAP620Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 20MM (BOX 200),Catalog, Search,1,2.5,no,memcap620z,1000
MEMCAP625,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 25MM (BOX 200),Catalog, Search,1,2.5,no,memcap625,1000
MEMCAP625Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 25MM (BOX 200),Catalog, Search,1,2.5,no,memcap625z,1000
MEMCAP630,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 30MM (BOX 200),Catalog, Search,1,2.5,no,memcap630,1000
MEMCAP635,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 35MM (BOX 200),Catalog, Search,1,2.5,no,memcap635,1000
