sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
CB10,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT UNC BRASS,"Catalog, Search",1
CB8,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H COARSE 45H DIN 916 SELF COLOUR,"Catalog, Search",1
CB9,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",base,SOCKET SET CUP POINT 45H DIN 916 COARSE 45H ZINC YELLOW,"Catalog, Search",1
MEMCAP1045,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 45MM (BOX 100),"Catalog, Search",1
MEMCAP24150,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 150MM (BOX 10),"Catalog, Search",1
MEMCAP16120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 120MM (BOX 25),"Catalog, Search",1
MEMCAP860,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 60MM (BOX 100),"Catalog, Search",1
MEMCAP2010Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP1240,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 40MM (BOX 50),"Catalog, Search",1
MEMCAP1045Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 45MM (BOX 100),"Catalog, Search",1
MEMCAP1065Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 65MM (BOX 100),"Catalog, Search",1
MEMCAP1225,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 25MM (BOX 100),"Catalog, Search",1
MEMCAP1235Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 35MM (BOX 100),"Catalog, Search",1
MEMCAP1250Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M12 X 50MM (BOX 50),"Catalog, Search",1
MEMCAP1270,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 70MM (BOX 50),"Catalog, Search",1
MEMCAP1290,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 90MM (BOX 50),"Catalog, Search",1
MEMCAP16120,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 120MM (BOX 25),"Catalog, Search",1
MEMCAP1645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 45MM (BOX 25),"Catalog, Search",1
MEMCAP1660Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M16 X 60MM (BOX 25),"Catalog, Search",1
MEMCAP1675,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M16 X 75MM (BOX 25),"Catalog, Search",1
MEMCAP20100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 100MM (BOX 25),"Catalog, Search",1
MEMCAP1030Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP2065,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M20 X 65MM (BOX 25),"Catalog, Search",1
MEMCAP24100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M24 X 100MM (BOX 10),"Catalog, Search",1
MEMCAP30200,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M30 X 200MM (SINGLE),"Catalog, Search",1
MEMCAP520Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP540Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M5 X 40MM (BOX 200),"Catalog, Search",1
MEMCAP620,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M6 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP630Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP645Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 45MM (BOX 200),"Catalog, Search",1
MEMCAP68Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M6 X 8MM (BOX 200),"Catalog, Search",1
MEMCAP820,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP830Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP845,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M8 X 45MM (BOX 200),"Catalog, Search",1
MEMCAP12100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M12 X 100MM (BOX 50),"Catalog, Search",1
MEMCAP880Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M8 X 80MM (BOX 100),"Catalog, Search",1
