sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
MEMHTB645Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M6 X 45MM (BOX 200),"Catalog, Search",1
GRPASSKIT,FRANCISKIRK,simple,"ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS",base,PLASTERBOARD FIXINGS ASSORTED KIT, 32 PIECE,"Catalog, Search",1
TWX53328,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,REDLINE WHEEL CLEANER 750ML,"Catalog, Search",1
FAIAUFUNNEL,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/ENGINE CONSUMABLES & FUEL PRODUCTS",base,PLASTIC FUNNEL 200MM,"Catalog, Search",1
PKT000279,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/CYCLING CONSUMABLES",base,CYCLING CHAIN OIL - ULTRA 100ML,"Catalog, Search",1
UCRPSPONGE,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/BRUSHES, CHAMOIS & SPONGES",base,POP-UP JUMBO SPONGE - VACUUM PACKED,"Catalog, Search",1
PKT000270,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/CYCLING CONSUMABLES",base,CYCLING SHINE & PROTECT 400ML,"Catalog, Search",1
TWX52738,FRANCISKIRK,simple,"CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES",base,POWER OUT! CARPET & MATS CLEANER 400ML,"Catalog, Search",1
FORDS4575,FRANCISKIRK,simple,"SCREWS/TIMBER FIXING & DECKING SCREWS",base,DECKING SCREW POZI COMPATIBLE ST GREEN ANTI-CORROSION 4.5 X 75MM BOX 200,"Catalog, Search",1
VIT331061,FRANCISKIRK,simple,"PPE/PERSONAL PROTECTION EQUIPMENT/DUST MASKS - FFP1 PROTECTION",base,PREMIUM VALVED MOULDED PAINT & ODOUR MASK FFP1,"Catalog, Search",1
