sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online,price,price_structure,url_key,qty
BS001,FRANCISKIRK,simple,PPE,base,B-SAFE EAR PLUGS 3/PACK,Catalog, Search,1,2.28,no,bs001,1000
BS005,FRANCISKIRK,simple,PPE,base,HI VISIBILITY EAR DEFENDER,Catalog, Search,1,6.48,no,bs005,1000
M900,FRANCISKIRK,simple,PPE,base,MOLDEX FULL FACE MASK,Catalog, Search,1,146.05,no,m900,1000
CPA4,FRANCISKIRK,simple,PPE,base,CLEAR PVC APRON PACK 10,Catalog, Search,1,44.15,no,cpa4,1000
DESCW,FRANCISKIRK,simple,PPE,base,TYVEK 200 EASYSAFE WHITE GLOVES,Catalog, Search,1,5.93,no,descw,1000
DA,FRANCISKIRK,simple,PPE,base,DISPOSABLE APRON - WHITE / BLUE,Catalog, Search,1,45.35,no,da,1000
ANWH20111,FRANCISKIRK,simple,PPE,base,MICROGARD 2000 WHITE BOILERSUIT COVERALL,Catalog, Search,1,10.35,no,anwh20111,1000
PAHW,FRANCISKIRK,simple,PPE,base,PVC APRON - PACK OF 10,Catalog, Search,1,62.2,no,pahw,1000
CM0126,FRANCISKIRK,simple,PPE,base,BSI LARGE REFILL (4401L),Catalog, Search,1,23.8,no,cm0126,1000
BS004,FRANCISKIRK,simple,PPE,base,B-SAFE EAR DEFENDER,Catalog, Search,1,8.3,no,bs004,1000
