sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
ZINCU400A,FRANCISKIRK,simple,"TOOLS/DECORATING & WOOD CARE/PAINTS & SPRAY PAINTS",base,COVERSUP AEROSOL WHITE 400ML,"Catalog, Search",1
FAIDB300TURB,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/DISCS - DIAMOND",base,TURBO CUT DIAMOND BLADE 300 X 20MM,"Catalog, Search",1
LIBWFSTICKR,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/FILLERS",base,WAX FILLER STICK 23 ROSEWOOD 50G SINGLE,"Catalog, Search",1
EVBWEACL,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/SEALANTS",base,WEATHER MATE SEALANT CLEAR 295ML,"Catalog, Search",1
WER004352,FRANCISKIRK,simple,"TOOLS/TOOLBOXES & TOOL STORAGE/TOOL BAGS",base,WERA 2GO 3 TOOLBOX,"Catalog, Search",1
YALPYWH40RWH,FRANCISKIRK,simple,"TOOLS/PADLOCKS, DOOR LOCKS & SECURITY/WINDOW SECURITY & FURNITURE",base,WHITE OFFSET LOCKING PVCU WINDOW HANDLE RIGHT,"Catalog, Search",1
HMMUMSLG750,FRANCISKIRK,simple,"TOOLS/DECORATING & WOOD CARE/PAINTS & SPRAY PAINTS",base,ULTIMA METAL PAINT SMOOTH LIGHT GREY 750ML,"Catalog, Search",1
ROC51366,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/LUBRICANTS",base,ULTRACUT EVO 250 CUTTING FLUID 5 LITRE,"Catalog, Search",1
ROC52074,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/LUBRICANTS",base,ULTRAGUARD AF 1 LITRE,"Catalog, Search",1
VEL60244,FRANCISKIRK,simple,"TOOLS/ADHESIVES & TAPES/VELCRO� BRAND TAPE",base,VELCRO BRAND HEAVY-DUTY STICK ON TAPE 50MM X 5M WHITE,"Catalog, Search",1
VEL60236,FRANCISKIRK,simple,"TOOLS/ADHESIVES & TAPES/VELCRO� BRAND TAPE",base,VELCRO BRAND STICK ON SQUARES 25MM BLACK (PACK 24),"Catalog, Search",1
VEL60210,FRANCISKIRK,simple,"TOOLS/ADHESIVES & TAPES/VELCRO� BRAND TAPE",base,VELCRO BRAND STICK ON TAPE 20MM X 1M WHITE,"Catalog, Search",1
VIT103421,FRANCISKIRK,simple,"TOOLS/DECORATING & WOOD CARE/TILING TOOLS & TILE ADHESIVES",base,VERSATILE POWER PRO WET SAW 750W 110V,"Catalog, Search",1
SCAVIRAWIPE,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/HAND, WORKSHOP CLEANERS & WIPES",base,VIRAWIPE PREMIUM SURFACE SANITISER WIPES (TUB 225),"Catalog, Search",1
VICWAIT,FRANCISKIRK,simple,"TOOLS/PENKNIVES & LEISURE TOOLS/SWISS ARMY KNIVES",base,WAITER SWISS ARMY KNIFE RED 0330300,"Catalog, Search",1
LIBWFSW,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/FILLERS",base,WAX FILLER STICK 00 WHITE 50G SINGLE,"Catalog, Search",1
LIBWFSDM,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/FILLERS",base,WAX FILLER STICK 07 DARK MAHOGANY 50G SINGLE,"Catalog, Search",1
LIBWFSLP,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/FILLERS",base,WAX FILLER STICK 15 LIGHT PINE 50G SINGLE,"Catalog, Search",1
LTHSMARTPLUG,FRANCISKIRK,simple,"TOOLS/HOME AUTOMATION",base,WI-FI PLUG-IN SOCKET 13 AMP,"Catalog, Search",1
FAIWBC75S,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/WIRE & NYLON BRUSHES & WHEELS",base,WIRE CUP BRUSH 75MM M14X2, 0.30MM STAINLESS STEEL WIRE,"Catalog, Search",1
FAIWS624B,FRANCISKIRK,simple,"TOOLS/DECORATING & WOOD CARE/DECORATING - PREPARATION",base,WOOD SCRAPER 4-SIDED BLADE 62MM,"Catalog, Search",1
TREUNICS,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,UNI/CS COUNTERSINK,"Catalog, Search",1
FAIHSKU,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS & HOLESAWS",base,UNIVERSAL VARIPITCH HOLESAW KIT, 16 PIECE 16-76MM,"Catalog, Search",1
RKLPWL02,FRANCISKIRK,simple,"TOOLS/PEST CONTROL/RODENT CONTROL",base,WOODEN RAT TRAP (BULK PACK 6),"Catalog, Search",1
FAIRMOPILE,FRANCISKIRK,simple,"TOOLS/DECORATING & WOOD CARE/DECORATING - PAINTING TOOLS",base,WOVEN SHORT PILE ROLLER SLEEVE 230 X 44MM (9 X 1.3/4IN),"Catalog, Search",1
YALY116115,FRANCISKIRK,simple,"TOOLS/PADLOCKS, DOOR LOCKS & SECURITY/PADLOCKS AND HASP & STAPLES",base,Y116/115 LOCKING HASP CHROME PLATED 116MM,"Catalog, Search",1
UNNY2600ZP25,FRANCISKIRK,simple,"TOOLS/PADLOCKS, DOOR LOCKS & SECURITY/DOOR SECURITY & FURNITURE",base,Y2600 TUBULAR LATCH ESSENTIALS ZINC PLATED 65MM 2.5IN VISI,"Catalog, Search",1
TRE47014TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,4/70 X 1/4 TCT TWO FLUTE CUTTER 25.0 X 25MM,"Catalog, Search",1
WES40N,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/LUBRICANTS",base,40/N 500CC OILER WITH (9IN) NYLON SPOUT 00409,"Catalog, Search",1
EVB450WH,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/SEALANTS",base,450 BUILDERS SILICONE SEALANT WHITE 300ML,"Catalog, Search",1
TRE460514TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,46/05 X 1/4 TCT 90 TEMPLATE PROFILER 6.3 X 12.7MM,"Catalog, Search",1
TRE461214TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,46/12 X 1/4 TCT BEARING GUIDED OVOLO & ROUND OVER 4.8MM RADIUS,"Catalog, Search",1
TRE500514HSE,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,50/05 X 1/4 HSSE HELICAL PLUNGE BIT 5MM,"Catalog, Search",1
EVB500WH,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/SEALANTS",base,500 BATH & SANITARY SILICONE SEALANT WHITE 290ML,"Catalog, Search",1
DOW3279472,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/SEALANTS",base,785+ SILICONE SEALANT  MANHATTAN GREY 310ML,"Catalog, Search",1
TRE7E314TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,7E/3 X 1/4 TCT PIN GUIDED ROUND OVER 8.0MM RADIUS,"Catalog, Search",1
PLG809,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/LUBRICANTS",base,809-10 PLUSGAS TIN 250ML,"Catalog, Search",1
TRE461712TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,46/17 X 1/2 TCT BEARING GUIDED OVOLO & ROUND OVER 19.1MM RADIUS,"Catalog, Search",1
TRE463914TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,46/39 X 1/4 TCT BEARING GUIDED REBATE SET 35 X 12.7MM,"Catalog, Search",1
TRE469014TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,46/90 X 1/4 TCT 90 SHANK MOUNTED TEMPLATE PROFILER 15.9 X 25MM,"Catalog, Search",1
BGW2412,FRANCISKIRK,simple,"TOOLS/ABRASIVES, FILLERS, SEALANTS & LUBRICANTS/HAND, WORKSHOP CLEANERS & WIPES",base,4X4 MULTI-PURPOSE CLEANING WIPES (TUB 120),"Catalog, Search",1
TRE32014TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/20 X 1/4 TCT TWO FLUTE CUTTER 6.3 X 16MM,"Catalog, Search",1
TRE32212TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/22 X 1/2 TCT TWO FLUTE CUTTER 6.3 X 25MM,"Catalog, Search",1
TRE3414TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/4 X 1/4 TCT TWO FLUTE CUTTER 8.0 X 19MM,"Catalog, Search",1
IRWIW6061302,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/SCREWDRIVER INSERT BITS & ADAPTORS",base,IMPACT PRO PERFORMANCE SCREWDRIVER BITS PH2 25MM (PACK 2),"Catalog, Search",1
IRWIW6061611,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/SCREWDRIVER INSERT BITS & ADAPTORS",base,IMPACT PRO PERFORMANCE SCREWDRIVER BITS TX25 25MM (PACK 2),"Catalog, Search",1
YAL82DMGPB,FRANCISKIRK,simple,"TOOLS/PADLOCKS, DOOR LOCKS & SECURITY/DOOR SECURITY & FURNITURE",base,82 DEADBOLT NIGHTLATCH 60MM BACKSET DMG FINISH BOX,"Catalog, Search",1
MIL472041,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/SCREWDRIVER INSERT BITS & ADAPTORS",base,SHOCKWAVE IMPACT DUTY BITS PZ2 X 25MM (PACK 25),"Catalog, Search",1
TRE35112TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/51 X 1/2 TCT TWO FLUTE CUTTER 9.5 X 32MM,"Catalog, Search",1
TRE3614TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/6 X 1/4 TCT TWO FLUTE CUTTER 10.0 X 19MM,"Catalog, Search",1
TRE37312TC,FRANCISKIRK,simple,"TOOLS/POWER TOOL ACCESSORIES/ROUTER BITS & ACCESSORIES",base,3/73 X 1/2 TCT TWO FLUTE CUTTER 12.0 X 50MM,"Catalog, Search",1
