sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"10MCI1054",,,,,,,,,,,,.36,,,,,,,,,,,,
"10MCI2S00",,,,,,,,,,,,.79,,,,,,,,,,,,
"10MCI4S00",,,,,,,,,,,,1.05,,,,,,,,,,,,
"10MCI800",,,,,,,,,,,,.27,,,,,,,,,,,,
"10MCI854",,,,,,,,,,,,.26,,,,,,,,,,,,
"10MCP1057",,,,,,,,,,,,.83,,,,,,,,,,,,
"10MCP2S00",,,,,,,,,,,,.99,,,,,,,,,,,,
"10MCP4S00",,,,,,,,,,,,1.47,,,,,,,,,,,,
"10MCP800",,,,,,,,,,,,.35,,,,,,,,,,,,
"10MCP854",,,,,,,,,,,,.27,,,,,,,,,,,,
"10MCV837",,,,,,,,,,,,.08,,,,,,,,,,,,
"10MCV855",,,,,,,,,,,,.08,,,,,,,,,,,,
"12MCI10106",,,,,,,,,,,,.89,,,,,,,,,,,,
"12MCI2S00",,,,,,,,,,,,.89,,,,,,,,,,,,
"12MCI4S00",,,,,,,,,,,,1.55,,,,,,,,,,,,
"12MCI800",,,,,,,,,,,,.39,,,,,,,,,,,,
"12MCI854",,,,,,,,,,,,.32,,,,,,,,,,,,
"12MCP1054",,,,,,,,,,,,.99,,,,,,,,,,,,
"12MCP2S00",,,,,,,,,,,,1.11,,,,,,,,,,,,
"12MCP4S00",,,,,,,,,,,,2.17,,,,,,,,,,,,
"12MCP800",,,,,,,,,,,,.65,,,,,,,,,,,,
"12MCP854",,,,,,,,,,,,.35,,,,,,,,,,,,
"12MCV1000",,,,,,,,,,,,.16,,,,,,,,,,,,
"12MCV855",,,,,,,,,,,,.1,,,,,,,,,,,,
"14MCI1054",,,,,,,,,,,,.83,,,,,,,,,,,,
"14MCI800",,,,,,,,,,,,1.38,,,,,,,,,,,,
"14MCI8106",,,,,,,,,,,,1.55,,,,,,,,,,,,
"14MCI854",,,,,,,,,,,,.56,,,,,,,,,,,,
"14MCP800",,,,,,,,,,,,1.3,,,,,,,,,,,,
"14MCP854",,,,,,,,,,,,.65,,,,,,,,,,,,
"14MCV855",,,,,,,,,,,,.19,,,,,,,,,,,,
"14MFI1054",,,,,,,,,,,,2.38,,,,,,,,,,,,
"14MFI854",,,,,,,,,,,,1.29,,,,,,,,,,,,
"14MFV1014",,,,,,,,,,,,.31,,,,,,,,,,,,
"16MCI1054",,,,,,,,,,,,.89,,,,,,,,,,,,
"16MCI12106",,,,,,,,,,,,1.12,,,,,,,,,,,,
"16MCI1237",,,,,,,,,,,,.96,,,,,,,,,,,,
"16MCI2S00",,,,,,,,,,,,1.34,,,,,,,,,,,,
"16MCI4S00",,,,,,,,,,,,2.23,,,,,,,,,,,,
"16MCI800",,,,,,,,,,,,.72,,,,,,,,,,,,
"16MCI854",,,,,,,,,,,,.64,,,,,,,,,,,,
"16MCP1000",,,,,,,,,,,,1.63,,,,,,,,,,,,
"16MCP10106",,,,,,,,,,,,1.73,,,,,,,,,,,,
"16MCP1054",,,,,,,,,,,,1.73,,,,,,,,,,,,
"16MCP2S00",,,,,,,,,,,,1.67,,,,,,,,,,,,
"16MCP4S00",,,,,,,,,,,,3.13,,,,,,,,,,,,
"16MCP800",,,,,,,,,,,,1.17,,,,,,,,,,,,
"16MCP803",,,,,,,,,,,,1.44,,,,,,,,,,,,
"16MCP8106",,,,,,,,,,,,.94,,,,,,,,,,,,
"16MCP837",,,,,,,,,,,,.88,,,,,,,,,,,,
"16MCP854",,,,,,,,,,,,.88,,,,,,,,,,,,
"16MCV855",,,,,,,,,,,,.2,,,,,,,,,,,,
"16MFI854",,,,,,,,,,,,.83,,,,,,,,,,,,
"16MFP1206",,,,,,,,,,,,1.88,,,,,,,,,,,,
"16MFP837",,,,,,,,,,,,1.29,,,,,,,,,,,,
"18MCI800",,,,,,,,,,,,1.79,,,,,,,,,,,,
"18MCI854",,,,,,,,,,,,1.85,,,,,,,,,,,,
"18MCP1000",,,,,,,,,,,,2.64,,,,,,,,,,,,
"18MCP800",,,,,,,,,,,,2.33,,,,,,,,,,,,
"18MCP831",,,,,,,,,,,,2.6,,,,,,,,,,,,
"18MCP854",,,,,,,,,,,,1.15,,,,,,,,,,,,
"18MCV855",,,,,,,,,,,,.42,,,,,,,,,,,,
"20MCI1054",,,,,,,,,,,,1.29,,,,,,,,,,,,
"20MCI2S00",,,,,,,,,,,,1.9,,,,,,,,,,,,
"20MCI4S00",,,,,,,,,,,,4.09,,,,,,,,,,,,
"20MCI800",,,,,,,,,,,,1.48,,,,,,,,,,,,
"20MCI854",,,,,,,,,,,,1.23,,,,,,,,,,,,
"20MCP2S00",,,,,,,,,,,,2.37,,,,,,,,,,,,
"20MCP4S00",,,,,,,,,,,,5.73,,,,,,,,,,,,
"20MCP800",,,,,,,,,,,,2.01,,,,,,,,,,,,
"20MCP854",,,,,,,,,,,,1.79,,,,,,,,,,,,
"20MCV855",,,,,,,,,,,,.79,,,,,,,,,,,,
"20MFI1054",,,,,,,,,,,,1.47,,,,,,,,,,,,
"20MFI854",,,,,,,,,,,,1.47,,,,,,,,,,,,
"20MFV1055",,,,,,,,,,,,25,,,,,,,,,,,,
