sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"10MCI1054",PHILIDAS,"M10 X 1.5 - PHILIDAS INDUSTRIAL NUT GRADE 10 -ZINC","M10 X 1.5 - PHILIDAS INDUSTRIAL NUT GRADE 10 -ZINC",METRIC,M10,,ZINC,GRADE 10,,,1,,100,PHILIDAS,,,,,"NUTS/INDUSTRIAL NUT",1,36.25,.36,1,https://i.imgur.com/tNdx8Yp.jpg
"10MCI2S00",PHILIDAS,"M10 - PHILIDAS INDUSTRIAL NUT - STAINLESS - A2","M10 - PHILIDAS INDUSTRIAL NUT - STAINLESS - A2",METRIC,M10,,A2 - STAINLESS STEEL,A2,,,1,,100,PHILIDAS,,,,,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",1,78.98,.79,1,https://i.imgur.com/VbHwpwT.jpg
"10MCI4S00",PHILIDAS,"M10 - PHILIDAS INDUSTRIAL NUT - STAINLESS - A4","M10 - PHILIDAS INDUSTRIAL NUT - STAINLESS - A4",METRIC,M10,,A4 - STAINLESS STEEL,A4-80,,,1,,100,PHILIDAS,,,,,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - STAINLESS STEEL",1,105.03,1.05,1,https://i.imgur.com/vwGw1Rk.jpg
"10MCI800",PHILIDAS,"M10 - PHILIDAS INDUSTRIAL NUT - SELF COLOUR","M10 - PHILIDAS INDUSTRIAL NUT - SELF COLOUR",METRIC,M10,,SELF COLOUR,,,,1,,100,PHILIDAS,,,,,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - SELF COLOUR",1,27.48,.27,1,https://i.imgur.com/Jm6ULrE.jpg
"10MCI854",PHILIDAS,"M10 - PHILIDAS INDUSTRIAL NUT - ZINC & YELLOW","M10 - PHILIDAS INDUSTRIAL NUT - ZINC & YELLOW",METRIC,M10,,ZINC & YELLOW,,,,1,,100,PHILIDAS,,,,,"NUTS/INDUSTRIAL NUT/INDUSTRIAL NUTS - ZINC & YELLOW",1,25.8,.26,1,https://i.imgur.com/sEMzBEA.jpg
"10MCP1057",PHILIDAS,"M10 - PHILIDAS TURRET NUT - GRADE 10 DELTA SILVER","M10 - PHILIDAS TURRET NUT - GRADE 10 DELTA SILVER",METRIC,M10,,DELTA SILVER,,,,1,,100,PHILIDAS,,,,,"NUTS/TURRET NUT",1,83.35,.83,1,https://i.imgur.com/tNdx8Yp.jpg
"10MCP2S00",PHILIDAS,"M10 - PHILIDAS TURRET NUT - STAINLESS - A2","M10 - PHILIDAS TURRET NUT - STAINLESS - A2",METRIC,M10,,A2 - STAINLESS STEEL,A2,,,1,,100,PHILIDAS,,,,,"NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",1,98.73,.99,1,https://franciskirk.shop/pub/media/catalog/category/TURRET_NUT_3.jpg
"10MCP4S00",PHILIDAS,"M10 - PHILIDAS TURRET NUT - STAINLESS - A4","M10 - PHILIDAS TURRET NUT - STAINLESS - A4",METRIC,M10,,A4 - STAINLESS STEEL,A4-80,,,1,,100,PHILIDAS,,,,,"NUTS/TURRET NUT/TURRET NUTS - STAINLESS STEEL",1,147.05,1.47,1,https://franciskirk.shop/pub/media/catalog/category/TURRET_NUT_3.jpg
"10MCP800",PHILIDAS,"M10 - PHILIDAS TURRET NUT - SELF COLOUR","M10 - PHILIDAS TURRET NUT - SELF COLOUR",METRIC,M10,,SELF COLOUR,,,,1,,100,PHILIDAS,,,,,"NUTS/TURRET NUT/TURRET NUTS - SELF COLOUR",1,35.25,.35,1,https://i.imgur.com/uEucRRt.jpg
"10MCP854",PHILIDAS,"M10 - PHILIDAS TURRET NUT - ZINC & YELLOW","M10 - PHILIDAS TURRET NUT - ZINC & YELLOW",METRIC,M10,,ZINC & YELLOW,,,,1,,100,PHILIDAS,,,,,"NUTS/TURRET NUT/TURRET NUTS - ZINC & YELLOW",1,26.53,.27,1,https://franciskirk.shop/pub/media/catalog/category/143b.jpg
