sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"142",BEESWIFT,"PROTOMASTER FULL SAFETY PVC WELLINGTON BOOTS","Features a steel-tipped toe and steel midsole for impact and penetration protection. ,  , Toecap protection , Steel Mid-Sole , Oil Resistant Outsole , Antistatic , Energy Absorbing Sole , Waterproof , EN ISO 20345 S5 SRA",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,22.98,22.98,1,https://www.beeswiftonline.com/Images/142VP.JPG
"ACSV",BEESWIFT,"ACRYLIC SWEATER","100% Acrylic material , V-Neck collar , Military Style Security Sweater , Thick material for added warmth",,,,,,,,1,,1,CLICK KNITWEAR,,,,,"WORKWEAR & CLOTHING/WORKWEAR/SWEATSHIRTS FOR MEN",1,25.6,25.6,1,https://www.beeswiftonline.com/Images/ACSVBL.JPG
"AD029",RALAWISE,"WOMEN'S TEAMWEAR POLO","SELF-COLLAR, LIGHTWEIGHT MICRO PIQUE FABRIC FOR MOISTURE-WICKING COMFORT AND BREATHABILITY, CONTRAST CUFFS, PLACKETS, AND COLLAR, ADIDAS BRAND MARK ON BACK NECK.WASHING INSTRUCTIONSMACHINE WASH COLD. DO NOT BLEACH. TUMBLE DRY LOW. DO NOT USE FABRIC SOFTENERS. WASH WITH LIKE COLOURS. REMOVE PROMPTLY AFTER WASH.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR WOMEN",1,41,41,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad029_ls00_2020.jpg
"AD036",RALAWISE,"MEN'S PERFORMANCE POLO SHIRT","SOFT, LIGHTWEIGHT FABRIC FOR MOISTURE-WICKING COMFORT AND BREATHABILITY.  WASHING INSTRUCTIONS MACHINE WASH COLD, DO NOT BLEACH, TUMBLE DRY LOW HEAT, TOUCH UP WITH COOL IRON & DO NOT DRY CLEAN",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,,,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad036_ls00_2020.jpg
"AD040",RALAWISE,"ADIDAS ULTIMATE 365 POLO","SELF COLLAR CONSTRUCTION, UPF 50+ FOR SUN PROTECTION, 3-BUTTON PLACKET, BALANCED WEIGHT FABRIC FOR YEAR-ROUND PERFORMANCE AND COMFORT. ENGINEERED WITH 4-WAY STRETCH FOR MOBILITY. HIGHLY BREATHABLE, DURABLE, AND MOISTURE-WICKING FABRIC FOR LASTING COMFORT. EDGE-STITCHED SHOULDER SEAMS FOR ADDITIONAL DURABILITY AND ADIDAS  LOGO AT LEFT SLEEVE.  WASHING INSTRUCTIONS MACHINE WASH COLD, DO NOT BLEACH, TUMBLE DRY LOW HEAT, TOUCH UP WITH COOL IRON & DO NOT DRY CLEAN",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,56.5,56.5,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad040_ls00_2020.jpg
"AD078",RALAWISE,"ADIDAS CLIMACOOL TOUR CRESTABLE CAP","UPF 50+ FOR SUN PROTECTION. CLIMACOOL TECHNOLOGY PROVIDES ZONAL VENTILATION FOR COOLING COMFORT. WATER-REPELLENT FINISH. FITTED, ADIDAS  RAISED BADGE OF SPORT HEAT TRANSFER AT RIGHT PANEL.  WASHING INSTRUCTIONS HAND WASH COLD. DO NOT BLEACH. DO NOT TUMBLE DRY. DO NOT IRON. DO NOT DRY CLEAN. DO NOT USE FABRIC SOFTENER.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/ACCESSORIES/BASEBALL CAP",1,34.25,34.25,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad078_ls00_20206.jpg
"AD113",RALAWISE,"3-PACK GOLD CREW SOCKS","PADDED SOLE FOR COMFORT. SOFT AND DURABLE.  WASHING INSTRUCTIONS MACHINE WASH WARM. DO NOT BLEACH. DO NOT TUMBLE DRY. DO NOT IRON. DO NOT DRY CLEAN.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/ACCESSORIES/SOCKS",1,28,28,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad113_ls00_2020.jpg
"AD115",RALAWISE,"ADIDAS 2-COLOUR STRIPE POLO","3-BUTTON PLACKET, PENCIL STRIPE, CLASSIC DESIGN POLO SHIRT.  WASHING INSTRUCTIONS MACHINE WASH COLD, DO NOT TUMBLE DRY, DO NOT DRY CLEAN, DO NOT BLEACH, TOUCH UP WITH COOL IRON.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,54,54,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad115_ls00_2020.jpg
"AD116",RALAWISE,"CLASSIC CLUB ZIP SWEATER","LIGHTWEIGHT, STRETCH FABRIC GOLF SWEATER. &FRAC14; ZIP FASTENING.WASHING INSTRUCTIONSMACHINE WASH COLD, DO NOT TUMBLE DRY, DO NOT DRY CLEAN, DO NOT BLEACH, TOUCH UP WITH COOL IRON.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/SWEATSHIRTS FOR MEN",1,80,80,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad116_ls00_2020.jpg
"AD117",RALAWISE,"ADIDAS LIGHTWEIGHT ZIP SWEATER","LIGHTWEIGHT FABRIC GOLF SWEATER. &FRAC14; ZIP FASTENING. STRETCH DESIGN TO ALLOW FULL RANGE OF MOTION ON AND OFF THE GOLF COURSE.WASHING INSTRUCTIONSMACHINE WASH COLD, DO NOT TUMBLE DRY, DO NOT DRY CLEAN, DO NOT BLEACH, TOUCH UP WITH COOL IRON.",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/SWEATSHIRTS FOR MEN",1,75,75,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad117_ls00_20206.jpg
