sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
K3M8,BRIGHTON BEST,M3 x 8 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,M3 x 8 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,METRIC,M3,8 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.74,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,1.85,,,https://i.imgur.com/3T261yg.jpg,
K3M22,BRIGHTON BEST,"M3-0.50x22 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991","M3-0.50x22 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991",METRIC,M3,22 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,1.72,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,4.3,,,https://i.imgur.com/3T261yg.jpg,
K3M14,BRIGHTON BEST,"M3-0.50x14 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991","M3-0.50x14 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991",METRIC,M3,14 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.73,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,1.83,,,https://i.imgur.com/3T261yg.jpg,
K3M12,BRIGHTON BEST,M3 x 12 COUNTERSUNK SOCKET SCREWS 10.9,M3 x 12 COUNTERSUNK SOCKET SCREWS 10.9,METRIC,M3,12 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.71,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,1.78,,,https://i.imgur.com/3T261yg.jpg,
K3M16,BRIGHTON BEST,M3 x 16 - COUNTERSUNK SOCKET 10.9 - SELF COLOUR,M3 x 16 - COUNTERSUNK SOCKET 10.9 - SELF COLOUR,METRIC,M3,16 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.57,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,1.43,,,https://i.imgur.com/3T261yg.jpg,
K3M20,BRIGHTON BEST,M3 x 20 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,M3 x 20 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,METRIC,M3,20 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,1.13,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,2.83,,,https://i.imgur.com/3T261yg.jpg,
K3M25,BRIGHTON BEST,M3 x 25 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,M3 x 25 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,METRIC,M3,25 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.75,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,1.88,,,https://i.imgur.com/3T261yg.jpg,
K3M40,BRIGHTON BEST,"M3-0.50x40 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991","M3-0.50x40 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991",METRIC,M3,40 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,2.58,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,6.45,,,https://i.imgur.com/3T261yg.jpg,
K2M8,BRIGHTON BEST,"M2-0.40x8 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991","M2-0.40x8 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991",METRIC,M2,8 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,1.39,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,3.48,,,https://i.imgur.com/3T261yg.jpg,
K4M6,BRIGHTON BEST,M4 x 6 - SOCKET COUNTERSUNK - SELF COLOUR,M4 x 6 - SOCKET COUNTERSUNK - SELF COLOUR,METRIC,M4,6 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.92,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,2.3,,,https://i.imgur.com/3T261yg.jpg,
K2M10,BRIGHTON BEST,"M2-0.40x10 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991","M2-0.40x10 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991",METRIC,M2,10 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,1.35,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,3.38,,,https://i.imgur.com/3T261yg.jpg,
K4M10,BRIGHTON BEST,M4 x 10 - COUNTERSUNK - GRADE 10.9 - SELF COLOUR,M4 x 10 - COUNTERSUNK - GRADE 10.9 - SELF COLOUR,METRIC,M4,10 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.8,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,2,,,https://i.imgur.com/3T261yg.jpg,
K4M18,BRIGHTON BEST,M4 x 18 COUNTERSUNK SOCKET SCREWS 10.9,M4 x 18 COUNTERSUNK SOCKET SCREWS 10.9,METRIC,M4,18 MM,SELF COLOUR,GRADE 10.9,SOCKET COUNTERSUNK,SOCKET COUNTERSUNK - 10.9 - SELF COLOUR,1,0.99,100,IMPORTED,-,-,-,-,SOCKET PRODUCTS,1,2.48,,,https://i.imgur.com/3T261yg.jpg,
