sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"ADVACPH72",TOOLBANK,"HARD LEAD CARPENTER'S PENCILS","HARD LEAD CARPENTER'S PENCILS",,,,,,,,1,,1,ADVENT,,,,,"TOOLS/HAND TOOLS/MARKING TOOLS/CARPENTER'S PENCILS",1,31.65,31.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ADVACPH72.jpg
"ADVACPM72",TOOLBANK,"YELLOW MEDIUM LEAD CARPENTER'S PENCILS BOX OF 72","YELLOW MEDIUM LEAD CARPENTER'S PENCILS BOX OF 72",,,,,,,,1,,1,ADVENT,,,,,"TOOLS/HAND TOOLS/MARKING TOOLS/CARPENTER'S PENCILS",1,31.65,31.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ADVACPM72.jpg
"ADVACPTUB10",TOOLBANK,"CARPENTER'S PENCILS (TUB OF 10 + SHARPENER)","CARPENTER'S PENCILS (TUB OF 10 + SHARPENER)",,,,,,,,1,,1,ADVENT,,,,,"TOOLS/HAND TOOLS/MARKING TOOLS/CARPENTER'S PENCILS",1,7.33,7.33,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ADVACPTUB10.jpg
"ADVAPTUB15",TOOLBANK,"HEXAGONAL HB PENCILS & SHARPENER (TUB 15)","HEXAGONAL HB PENCILS & SHARPENER (TUB 15)",,,,,,,,1,,1,ADVENT,,,,,"TOOLS/HAND TOOLS/MARKING TOOLS/CARPENTER'S PENCILS",1,7.33,7.33,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/ADVAPTUB15.jpg
"ALMBC040",TOOLBANK,"BC040 CHAINSAW CHAIN 3/8IN X 40 LINKS - FITS 25CM BARS","BC040 CHAINSAW CHAIN 3/8IN X 40 LINKS - FITS 25CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,19.93,19.93,1,https://franciskirk.shop/var/import/images/ALMBC040.jpg
"ALMBC045",TOOLBANK,"BC045 CHAINSAW CHAIN 3/8IN X 45 LINKS 1.1MM BOSCH 30CM BARS","BC045 CHAINSAW CHAIN 3/8IN X 45 LINKS 1.1MM BOSCH 30CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,21.48,21.48,1,https://franciskirk.shop/var/import/images/ALMBC045.jpg
"ALMBC052",TOOLBANK,"BC052 CHAINSAW CHAIN 3/8IN X 52 LINKS 1.1MM 35CM BARS","BC052 CHAINSAW CHAIN 3/8IN X 52 LINKS 1.1MM 35CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,21.23,21.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/ALMCH066.jpg
"ALMBC057",TOOLBANK,"BC057 CHAINSAW CHAIN 3/8IN X 57 LINKS 1.1MM 40CM BARS","BC057 CHAINSAW CHAIN 3/8IN X 57 LINKS 1.1MM 40CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,24.4,24.4,1,https://franciskirk.shop/var/import/images/ALMBC057.jpg
"ALMCH040",TOOLBANK,"CH040 CHAINSAW CHAIN 3/8IN X 40 LINKS - FITS 25CM BARS","CH040 CHAINSAW CHAIN 3/8IN X 40 LINKS - FITS 25CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,19.93,19.93,1,https://franciskirk.shop/var/import/images/ALMCH040.jpg
"ALMCH044",TOOLBANK,"CH044 CHAINSAW CHAIN 3/8IN X 44 LINKS - FITS 30CM BARS","CH044 CHAINSAW CHAIN 3/8IN X 44 LINKS - FITS 30CM BARS",,,,,,,,1,,1,ALM MANUFACTURING,,,,,"TOOLS/GARDEN TOOLS/SPARES, MAINTENANCE & SHARPENING TOOLS/REPLACEMENT CHAINSAW CHAINS & BARS",1,18.9,18.9,1,https://franciskirk.shop/var/import/images/ALMCH044.jpg
