sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
CB10,BRIGHTON BEST,SOCKET SET CUP POINT UNC BRASS,,UNC,1/4",1/2",BRASS,GRADE 14.9,,,1,,100,IMPORTED,,,-,,SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT"1,15.75,.16,1,https://franciskirk.shop/var/import/images/CB10.jpg,
CB8,BRIGHTON BEST,SOCKET SET CUP POINT 45H COARSE 45H DIN 916 SELF COLOUR,,METRIC,M14,14 MM,SELF COLOUR,GRADE 14.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT"1,20.83,.21,1,https://i.imgur.com/1gnnm0w.jpg,
CB9,BRIGHTON BEST,SOCKET SET CUP POINT 45H DIN 916 COARSE 45H ZINC YELLOW,,METRIC,M8,16 MM,ZINC,GRADE 14.9,,,1,,100,IMPORTED,,,-,,SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT"1,6,.06,1,https://i.imgur.com/xDce7CP.jpg,
GRPUCT20,TOOLBANK,UNDERCUTTING TOOL 20MM,,,,,,,,,1,,1,GRIPIT,,,,,ANCHORING PRODUCTS/CAVITY WALL & PLATERBOARD FIXINGS"1,2.5,,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/GRPUCT20.jpg,
TWX53143,TOOLBANK,WASH & WAX WATERLESS CLEANING 750ML,,,,,,,,,1,,1,TURTLE WAX,,,,,CLEANING PRODUCTS/CAR MAINTENANCE & VALETING PRODUCTS/VALETING CONSUMABLES"1,2.5,,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/TWX53143.jpg,
BS001,BEESWIFT,B-SAFE EAR PLUGS 3/PACK,,,,,,,,,1,,1,B-SAFE PREPACK RANGE,,,,,PPE/HEARING PROTECTION"1,2.28,,1,https://www.beeswiftonline.com/Images/BS001.JPG,
BS002C,BEESWIFT,TPR EASY FIT CORDED EAR PLUGS PACK 5,,-,-,-,-,-,,,1,,1,B-SAFE PREPACK RANGE,,,-,-,PPE/HEARING PROTECTION"1,3.1,,1,https://www.beeswiftonline.com/Images/BS002C.JPG,
BS005,BEESWIFT,HI VISIBILITY EAR DEFENDER,,,,,,,,,1,,1,B-SAFE PREPACK RANGE,,,,,PPE/HEARING PROTECTION"1,6.48,,1,https://www.beeswiftonline.com/Images/Extra/BS004_1@.jpg,
M900,BEESWIFT,MOLDEX FULL FACE MASK,,-,,,,,,,1,,1,MOLDEX METRIC RANGE,,,,,PPE/FACE MASKS/FULL FACE MASK"1,146.05,,1,https://www.beeswiftonline.com/Images/M9001.JPG,
CPA4,BEESWIFT,CLEAR PVC APRON PACK 10,,,,,,,,,1,,1,CLICK APRONS/ACCESSORIES,,,,,PPE/APRONS/PVC APRON"1,44.15,,1,https://www.beeswiftonline.com/Images/CPA.JPG,
