sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
K3M6,BRIGHTON BEST,M3 x 6 - COUNTERSUNK SOCKET 10.9 - SELF COLOUR,,METRIC,M3,6 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,1.78,.02,1,https://i.imgur.com/3T261yg.jpg,
K2M6,BRIGHTON BEST,M2-0.40 x 6 SOCKET CSK SCREWS 10.9 DIN 7991,,METRIC,M2,6 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,2.85,.03,1,https://i.imgur.com/3T261yg.jpg,
K3M8,BRIGHTON BEST,M3 x 8 - COUNTERSUNK SOCKET - 10.9 - SELF COLOUR,,METRIC,M3,8 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,1.85,.02,1,https://i.imgur.com/3T261yg.jpg,
K3M22,BRIGHTON BEST,M3-0.50x22 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991,,METRIC,M3,22 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,4.3,.04,1,https://i.imgur.com/3T261yg.jpg,
K3M10,BRIGHTON BEST,M3 x 10 - COUNTERSUNK SOCKET 10.9 - SELF COLOUR,,METRIC,M3,10 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,2.35,.02,1,https://i.imgur.com/3T261yg.jpg,
K3M14,BRIGHTON BEST,M3-0.50x14 ,DIN 7991 SOC CSK SCREWS 10.9 DIN 7991,,METRIC,M3,14 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,1.83,.02,1,https://i.imgur.com/3T261yg.jpg,
K3M12,BRIGHTON BEST,M3 x 12 COUNTERSUNK SOCKET SCREWS 10.9,,METRIC,M3,12 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,1.78,.02,1,https://i.imgur.com/3T261yg.jpg,
K3M15,BRIGHTON BEST,M3 x 15 COUNTERSUNK SOCKET SCREWS 10.9,,METRIC,M3,15 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,2.3,.02,1,https://i.imgur.com/3T261yg.jpg,
K3M16,BRIGHTON BEST,M3 x 16 - COUNTERSUNK SOCKET 10.9 - SELF COLOUR,,METRIC,M3,16 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,1.43,.01,1,https://i.imgur.com/3T261yg.jpg,
K3M18,BRIGHTON BEST,M3 x 18 COUNTERSUNK SOCKET HEAD - SELF COLOUR,,METRIC,M3,18 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,-,-,SOCKET PRODUCTS/SOCKET COUNTERSUNK/SOCKET COUNTERSUNK - 10.9 - SELF COLOUR"1,3.33,.03,1,https://i.imgur.com/3T261yg.jpg,
