sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FAISDP200,TOOLBANK,"SOFT GRIP SCREWDRIVER PARALLEL SLOTTED TIP 5.5 X 200MM","SOFT GRIP SCREWDRIVER PARALLEL SLOTTED TIP 5.5 X 200MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,4.08,4.08,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDP200.jpg,
FAISDP250,TOOLBANK,"SOFT GRIP SCREWDRIVER PARALLEL SLOTTED TIP 6.5 X 250MM","SOFT GRIP SCREWDRIVER PARALLEL SLOTTED TIP 6.5 X 250MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,5.55,5.55,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDP250.jpg,
FAISDPH1,TOOLBANK,"SOFT GRIP SCREWDRIVER PHILLIPS TIP PH1 X 75MM","SOFT GRIP SCREWDRIVER PHILLIPS TIP PH1 X 75MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,2.55,2.55,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPH1.jpg,
FAISDPH2,TOOLBANK,"SOFT GRIP SCREWDRIVER PHILLIPS TIP PH2 X 100MM","SOFT GRIP SCREWDRIVER PHILLIPS TIP PH2 X 100MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,3.4,3.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPH2.jpg,
FAISDPH2150,TOOLBANK,"SOFT GRIP SCREWDRIVER PHILLIPS TIP PH2 X 150MM","SOFT GRIP SCREWDRIVER PHILLIPS TIP PH2 X 150MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,4.38,4.38,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPH2150.jpg,
FAISDPZ1,TOOLBANK,"SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ1 X 75MM","SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ1 X 75MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,2.55,2.55,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPZ1.jpg,
FAISDPZ1L,TOOLBANK,"SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ1 X 250MM LONG REACH","SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ1 X 250MM LONG REACH",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,4.35,4.35,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPZ1L.jpg,
FAISDPZ2,TOOLBANK,"SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 100MM","SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 100MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,3.4,3.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPZ2.jpg,
FAISDPZ2150,TOOLBANK,"SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 150MM","SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 150MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,4.38,4.38,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPZ2150.jpg,
FAISDPZ2L,TOOLBANK,"SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 250MM LONG REACH","SOFT GRIP SCREWDRIVER POZIDRIV TIP PZ2 X 250MM LONG REACH",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/HAND TOOLS/SCREWDRIVERS",1,4.95,4.95,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAISDPZ2L.jpg,
FAITHBEECH,TOOLBANK,"THERMOMETER WALL BEECH SILVER 200MM","THERMOMETER WALL BEECH SILVER 200MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,6.85,6.85,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHBEECH.jpg,
FAITHHUMID,TOOLBANK,"HUMIDITY DIAL (HYGROMETER)","HUMIDITY DIAL (HYGROMETER)",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,4.55,4.55,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHHUMID.jpg,
FAITHMMBUTMF,TOOLBANK,"THERMOMETER PRESS BUTTON MAX-MIN","THERMOMETER PRESS BUTTON MAX-MIN",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,18.43,18.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHMMBUTMF.jpg,
FAITHMMDIAL,TOOLBANK,"THERMOMETER DIAL MAX-MIN","THERMOMETER DIAL MAX-MIN",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,12.48,12.48,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHMMDIAL.jpg,
FAITHPLASTIC,TOOLBANK,"WALL THERMOMETER - PLASTIC 200MM","WALL THERMOMETER - PLASTIC 200MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,3.25,3.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHPLASTIC.jpg,
FAITHWINDOW,TOOLBANK,"THERMOMETER - STICK-ON WINDOW","THERMOMETER - STICK-ON WINDOW",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,4.4,4.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHWINDOW.jpg,
FAITHWOODLG,TOOLBANK,"WALL THERMOMETER - WOOD 400MM","WALL THERMOMETER - WOOD 400MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,6.43,6.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHWOODLG.jpg,
FAITHWOODSM,TOOLBANK,"WALL THERMOMETER - WOOD 260MM","WALL THERMOMETER - WOOD 260MM",,,,,,,,1,,1,FAITHFULL,,,,,"Fk Store/TOOLS/PENKNIVES & LEISURE TOOLS",1,4.85,4.85,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FAITHWOODSM.jpg,
