sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FORRWASH104M,TOOLBANK,"FLAT REPAIR WASHERS ZP M10 X 40MM BAG 10","FLAT REPAIR WASHERS ZP M10 X 40MM BAG 10",METRIC,M10,,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/REPAIR WASHERS",1,1.25,1.25,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/FORRWASH640B.jpg,
FORRWASH124M,TOOLBANK,"FLAT REPAIR WASHERS ZP M12 X 40MM BAG 10","FLAT REPAIR WASHERS ZP M12 X 40MM BAG 10",METRIC,M12,,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/REPAIR WASHERS",1,1.25,1.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORRWASH640B.jpg,
FORRWASH840M,TOOLBANK,"FLAT REPAIR WASHERS ZP M8 X 40MM BAG 10","FLAT REPAIR WASHERS ZP M8 X 40MM BAG 10",METRIC,M8,,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/REPAIR WASHERS",1,1.25,1.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORRWASH640B.jpg,
FORMWASH105M,TOOLBANK,"FLAT MUDGUARD WASHERS ZP M10 X 50MM BAG 10","FLAT MUDGUARD WASHERS ZP M10 X 50MM BAG 10",METRIC,M10,50 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/MUDGUARD WASHERS",1,1.88,1.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORMWASH105M.jpg,
FORMWASH125M,TOOLBANK,"FLAT MUDGUARD WASHERS ZP M12 X 50MM BAG 10","FLAT MUDGUARD WASHERS ZP M12 X 50MM BAG 10",METRIC,M12,50 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/MUDGUARD WASHERS",1,1.88,1.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORMWASH105M.jpg,
FORMWASH650M,TOOLBANK,"FLAT MUDGUARD WASHERS ZP M6 X 50MM BAG 10","FLAT MUDGUARD WASHERS ZP M6 X 50MM BAG 10",METRIC,M6,50 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/MUDGUARD WASHERS",1,1.88,1.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORMWASH105M.jpg,
FORMWASH850M,TOOLBANK,"FLAT MUDGUARD WASHERS ZP M8 X 50MM BAG 10","FLAT MUDGUARD WASHERS ZP M8 X 50MM BAG 10",METRIC,M8,50 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/MUDGUARD WASHERS",1,1.88,1.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORMWASH105M.jpg,
FORPENY10M,TOOLBANK,"FLAT PENNY WASHER ZP M10 X 25MM BAG 10","FLAT PENNY WASHER ZP M10 X 25MM BAG 10",METRIC,M10,25 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/PENNY WASHER",1,.65,.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORPENY8M.jpg,
FORPENY12M,TOOLBANK,"FLAT PENNY WASHER ZP M12 X 25MM BAG 10","FLAT PENNY WASHER ZP M12 X 25MM BAG 10",METRIC,M12,25 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/PENNY WASHER",1,.65,.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORPENY8M.jpg,
FORPENY5M,TOOLBANK,"FLAT PENNY WASHER ZP M5 X 25MM BAG 10","FLAT PENNY WASHER ZP M5 X 25MM BAG 10",METRIC,M5,25 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/PENNY WASHER",1,.65,.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORPENY8M.jpg,
FORPENY6M,TOOLBANK,"FLAT PENNY WASHER ZP M6 X 25MM BAG 10","FLAT PENNY WASHER ZP M6 X 25MM BAG 10",METRIC,M6,25 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/PENNY WASHER",1,.65,.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORPENY8M.jpg,
FORPENY8M,TOOLBANK,"FLAT PENNY WASHER ZP M8 X 25MM BAG 10","FLAT PENNY WASHER ZP M8 X 25MM BAG 10",METRIC,M8,25 MM,ZINC,,,,1,,1,FORGEFIX,,,,,"WASHERS/PENNY WASHER",1,.65,.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORPENY8M.jpg,
FORFPSW10,TOOLBANK,"SPRING WASHERS DIN127 ZP M10 FORGEPACK 20","SPRING WASHERS DIN127 ZP M10 FORGEPACK 20",METRIC,M10,,ZINC,,,,1,,1,FORGEFAST,,,,,"WASHERS/SPRING WASHERS",1,1.35,1.35,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORFPSW10.jpg,
FORFPSW12,TOOLBANK,"SPRING WASHERS DIN127 ZP M12 FORGEPACK 10","SPRING WASHERS DIN127 ZP M12 FORGEPACK 10",METRIC,M12,,ZINC,,,,1,,1,FORGEFAST,,,,,"WASHERS/SPRING WASHERS",1,1.35,1.35,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORFPSW12.jpg,
FORFPSW5,TOOLBANK,"SPRING WASHERS DIN127 ZP M5 FORGEPACK 80","SPRING WASHERS DIN127 ZP M5 FORGEPACK 80",METRIC,M5,,ZINC,,,,1,,1,FORGEFAST,,,,,"WASHERS/SPRING WASHERS",1,2.03,2.03,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORFPSW5.jpg,
FORFPSW6,TOOLBANK,"SPRING WASHERS DIN127 ZP M6 FORGEPACK 60","SPRING WASHERS DIN127 ZP M6 FORGEPACK 60",METRIC,M6,,ZINC,,,,1,,1,FORGEFAST,,,,,"WASHERS/SPRING WASHERS",1,1.35,1.35,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORFPSW6.jpg,
FORFPSW8,TOOLBANK,"SPRING WASHERS DIN127 ZP M8 FORGEPACK 30","SPRING WASHERS DIN127 ZP M8 FORGEPACK 30",METRIC,M8,,ZINC,,,,1,,1,FORGEFAST,,,,,"WASHERS/SPRING WASHERS",1,1.35,1.35,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/FORFPSW8.jpg,
