sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"142",BEESWIFT,"PROTOMASTER FULL SAFETY PVC WELLINGTON BOOTS","Features a steel-tipped toe and steel midsole for impact and penetration protection.

Toecap protection
Steel Mid-Sole
Oil Resistant Outsole
Antistatic
Energy Absorbing Sole
Waterproof
EN ISO 20345 S5 SRA",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,22.98,22.98,1,https://www.beeswiftonline.com/Images/142VP.JPG

"171BV",BEESWIFT,"PROTOMASTOR SAFETY WELLINGTON BOOTS","100% waterproof
PVC/Nitrile
Steel Toe Cap
Oil resistant outsole
Various chemical resistant
Resists minerals, animal and plant oils and fats, blood, disinfectants, fertilizer, various chemicals
EN ISO 20345:2011 Personal protective equipment. Safety footwear SB E FO SRA",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,26.85,26.85,1,https://www.beeswiftonline.com/Images/171BV.JPG

"2124-002",BEESWIFT,"UVEX XACT-FIT REPLACE PLUG 250","SNR: 26dB
Suitable for noise exposure levels up to 97dB(A)
Easy, accurate fitting every time
Tapered shape fits the natural shape of the ear canal
Ergonomic steps c/w left and right fitting ensures consistently accurate insertion and optimum protection
Adjustable neck cord
Replacement plugs available 2124-002
(250 pairs per box)",,,,,,,,1,,1,UVEX RANGE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",1,112.75,112.75,1,https://www.beeswiftonline.com/Images/2124-002.JPG

"7IN1",BEESWIFT,"ELSENER 7 IN 1 ORANGE XL","Highly versatile garment
Suitable for "All Seasons" use
Breathable outer shell
Removable hood
External phone pocket
D rings for attaching identity tags
Fleece lined collar on outer garment
Hook and loop adjustable cuffs
Hand warmer pockets
Inner jacket zipout sleeves
3M Reflective tape


Conforms to EN ISO 20471 Class 3 High Visibility
Conforms to EN343
Class 3 Water Penetration
Class 3 Air Permeability
RIS-3279-TOM - Railway use Certified",,,,,,,,1,,1,B-SEEN HV OUTER WEAR,,,,,"WORKWEAR & CLOTHING/WORKWEAR/JACKETS FOR MEN",1,123.15,123.15,1,https://www.beeswiftonline.com/Images/7IN1OR.JPG

"925S",BEESWIFT,"925F(X) PROFLEX GLOVE SMALL","* PROFLEX 925F(X) DORSAL IMPACT-REDUCING GLOVES * MAXIMUM BACK-OF-HAND IMPACT PROTECTION * MEETS SUPERIOR ABRASION RESISTANCE, DEXTERITY AND GRIP.* MOLDED TPR ARMOR ON KNUCKLES, FINGERS AND CARPAL BONE FOR IMPACT PROTECTION, PINCH INJURY PREVENTION, AND BLOW DEFLECTION * ARMOR FLEX ZONES FOR HIGH DEXTERITY* 5MM EVA DORSAL PAD PROTECTS VULNERABLE METACARPAL REGION* 5MM EVA PALM AND ULNAR PADDING PROTECTS AGAINST CHOPPING BLOWS * ABRASION RESISTANT PVC ON PALM AND 3 FINGERS LIMITS LIQUID PENETRATION* HI-VIS ORANGE FOR HAND SIGNALING* NON-SLIP ARMORTEX REINFORCEMENT ZONES ON THUMB SADDLE AND INDEX FINGER FOR ENHANCED PROTECTION, GRIP AND DURABILITY * REINFORCED KEVLAR PALM STITCHING FOR EXTENDED WEAR AND DURABILITY* REFLECTIVE ACCENTS AND HI-VIS COLOR SCHEME FOR OPTIMAL HAND VISIBILITY* CONTOURED NEOPRENE CUFF WITH REFLECTIVE PULL-ON TAB RESISTS SNAGGING WHILE OFFERING A SECURE FIT AND EASY ON/OFF.* EN 420* EN 388: 4132",,,,,,,,1,,1,ERGODYNE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/ACCESSORIES",1,49.13,49.13,1,https://www.beeswiftonline.com/Images/925.JPG
"9301-105",BEESWIFT,"UVEX ULTRAVISION GOGGLE CLEAR","Full vision goggle.
Permanent anti-fog coating on inside of lens.
Scratch-resistant coating on the outside for increased durability.
Wide fully adjustable head strap.
Can be worn over most prescription spectacles.
Conforms to EN166 1B 349 KN",,,,,,,,1,,1,UVEX RANGE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",1,16,16,1,https://www.beeswiftonline.com/Images/9301.105.JPG

"9302-245",BEESWIFT,"UVEX ULTRASONIC GOGGLE  CLEAR","Lightweight sporty ski goggle design.
Permanent anti-fog coating on the inside of the lens.
Scratch-resistant coating on the outside for increased durability.
Soft seal adapts to wearer's face.
Soft material aids compatibility with respirators and other items of PPE.
Wide fully adjustable head strap.
Can be worn over most prescription spectacles.
Replacement Lens for Ultrasonic Goggle 9302.255
Conforms to EN166 1B 349 KN",,,,,,,,1,,1,UVEX RANGE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",1,17.55,17.55,1,https://www.beeswiftonline.com/Images/9302_245.JPG

"9963-000",BEESWIFT,"CLEANING TOWELETTES 100/BOX","BOX OF 100 MOIST SILICONE FREE CLEANING TISSUESINDIVIDUALLY SEALEDSUITABLE FOR ALL LENSES CAN BE USED AS A STANDALONE ITEM, OR AS AN ALTERNATIVE TO 9991-000 IN THE 9990-000 CLEANING STATION",,,,,,,,1,,1,UVEX RANGE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/HEAD & FACE PROTECTION",1,20,20,1,https://www.beeswiftonline.com/Images/9963_000.JPG
