sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"CF84203",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84204",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84205",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84206",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84206.5",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84207",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84208",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84209",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84210",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84210.5",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84211",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84212",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84303",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84304",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84305",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84306",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84306.5",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84307",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84308",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84309",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84310",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84310.5",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84311",,,,,,,,,,,,,,,,,,,,,27.5,,,
"CF84312",,,,,,,,,,,,,,,,,,,,,27.5,,,
"SCAWWHVWL",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWLO",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWLP",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWM",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWMO",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWMP",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWXL",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWXO",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"SCAWWHVWXXL",,,,,,,,,,,,,,,,,,,,,4.3,5.030,,
"STRHS102FCW",,,,,,,,,,,,,,,,,,,,,26.48,33.100,,
"STRHS111FCW",,,,,,,,,,,,,,,,,,,,,37.68,47.100,,
"STRHS114FCW",,,,,,,,,,,,,,,,,,,,,38.74,48.430,,
"STRHS118FCW",,,,,,,,,,,,,,,,,,,,,40.68,50.850,,
"STRHS121FCW",,,,,,,,,,,,,,,,,,,,,44.94,56.180,,
"STRHS127FCW",,,,,,,,,,,,,,,,,,,,,50.92,63.650,,
"STRHS140FCW",,,,,,,,,,,,,,,,,,,,,57.48,71.850,,
"STRHS19FCW",,,,,,,,,,,,,,,,,,,,,8.26,10.330,,
"STRHS20FCW",,,,,,,,,,,,,,,,,,,,,8.26,10.330,,
"STRHS22FCW",,,,,,,,,,,,,,,,,,,,,8.62,10.780,,
"STRHS25FCW",,,,,,,,,,,,,,,,,,,,,10.58,13.230,,
"STRHS27FCW",,,,,,,,,,,,,,,,,,,,,10.96,13.700,,
"STRHS29FCW",,,,,,,,,,,,,,,,,,,,,11.76,14.700,,
"STRHS30FCW",,,,,,,,,,,,,,,,,,,,,12.34,15.430,,
"STRHS32FCW",,,,,,,,,,,,,,,,,,,,,12.34,15.430,,
"STRHS38FCW",,,,,,,,,,,,,,,,,,,,,13.48,16.850,,
"STRHS40FCW",,,,,,,,,,,,,,,,,,,,,14.54,18.180,,
"STRHS41FCW",,,,,,,,,,,,,,,,,,,,,14.66,18.330,,
"STRHS44FCW",,,,,,,,,,,,,,,,,,,,,15.22,19.030,,
"STRHS48FCW",,,,,,,,,,,,,,,,,,,,,15.22,19.030,,
"STRHS51FCW",,,,,,,,,,,,,,,,,,,,,15.22,19.030,,
