sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
HB105M25,BRIGHTON BEST,"M5-0.80x25 HEX BOLT 10.9 DIN 931","M5-0.80x25 HEX BOLT 10.9 DIN 931",METRIC,M5,25 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,2.88,.03,1,https://i.imgur.com/1n8ZrFN.jpg,
HB105M30,BRIGHTON BEST,"M5-0.80x30 HEX BOLT 10.9 DIN 931","M5-0.80x30 HEX BOLT 10.9 DIN 931",METRIC,M5,30 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,3.28,.03,1,https://i.imgur.com/1n8ZrFN.jpg,
HB105M35,BRIGHTON BEST,"M5-0.80x35 HEX BOLT 10.9 DIN 931","M5-0.80x35 HEX BOLT 10.9 DIN 931",METRIC,M5,35 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,3.7,.04,1,https://i.imgur.com/1n8ZrFN.jpg,
HB105M40,BRIGHTON BEST,"M5-0.80x40 HEX BOLT 10.9 DIN 931","M5-0.80x40 HEX BOLT 10.9 DIN 931",METRIC,M5,40 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,4.5,.05,1,https://i.imgur.com/1n8ZrFN.jpg,
HB105M50,BRIGHTON BEST,"M5-0.80x50 HEX BOLT 10.9 DIN 931","M5-0.80x50 HEX BOLT 10.9 DIN 931",METRIC,M5,50 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,5.75,.06,1,https://i.imgur.com/1n8ZrFN.jpg,
HB105M60,BRIGHTON BEST,"M5-0.80x60 HEX BOLT 10.9 DIN 931","M5-0.80x60 HEX BOLT 10.9 DIN 931",METRIC,M5,60 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,6.98,.07,1,https://i.imgur.com/1n8ZrFN.jpg,
HB106M30,BRIGHTON BEST,"M6 x 30 HEX BOLT GRADE 10.9 DIN 931 - SELF COLOUR","M6 x 30 HEX BOLT GRADE 10.9 DIN 931 - SELF COLOUR",METRIC,M6,30 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,6.43,.06,1,https://i.imgur.com/1n8ZrFN.jpg,
HB106M35,BRIGHTON BEST,"M6-1.00x35 HEX BOLT 10.9 DIN 931","M6-1.00x35 HEX BOLT 10.9 DIN 931",METRIC,M6,35 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,5.33,.05,1,https://i.imgur.com/1n8ZrFN.jpg,
HB106M40,BRIGHTON BEST,"M6-1.00x40 HEX BOLT 10.9 DIN 931","M6-1.00x40 HEX BOLT 10.9 DIN 931",METRIC,M6,40 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,5.75,.06,1,https://i.imgur.com/1n8ZrFN.jpg,
HB106M45,BRIGHTON BEST,"M6 x 45 - HEX BOLT - 10.9 DIN 931 - SELF COLOUR","M6 x 45 - HEX BOLT - 10.9 DIN 931 - SELF COLOUR",METRIC,M6,45 MM,SELF COLOUR,GRADE 10.9,,,1,,100,IMPORTED,,,,,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 10.9 - SELF COLOUR",1,6.15,.06,1,https://i.imgur.com/1n8ZrFN.jpg,
