sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"142",BEESWIFT,"PROTOMASTER FULL SAFETY PVC WELLINGTON BOOTS","",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,22.98,22.98,1,https://www.beeswiftonline.com/Images/142VP.JPG
"171BV",BEESWIFT,"PROTOMASTOR SAFETY WELLINGTON BOOTS","",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,26.85,26.85,1,https://www.beeswiftonline.com/Images/171BV.JPG
"7IN1",BEESWIFT,"ELSENER 7 IN 1 ORANGE XL","",,,,,,,,1,,1,B-SEEN HV OUTER WEAR,,,,,"WORKWEAR & CLOTHING/WORKWEAR/JACKETS FOR MEN",1,123.15,123.15,1,https://www.beeswiftonline.com/Images/7IN1OR.JPG
"925S",BEESWIFT,"925F(X) PROFLEX GLOVE SMALL","",,,,,,,,1,,1,ERGODYNE,,,,,"WORKWEAR & CLOTHING/WORKWEAR/ACCESSORIES/GLOVES",1,49.13,49.13,1,https://www.beeswiftonline.com/Images/925.JPG
"A4422B",BEESWIFT,"DUNLOP ACIFORT HEAVY DUTY WELLINGTON BOOTS","",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/BOOTS",1,39.38,39.38,1,https://www.beeswiftonline.com/Images/A4422B1.JPG
"A442631",BEESWIFT,"ACIFORT THIGH WADER","",,,,,,,,1,,1,DUNLOP,,,,,"WORKWEAR & CLOTHING/FOOTWEAR/WELLINGTON BOOTS",1,122.75,122.75,1,https://www.beeswiftonline.com/Images/A442631_TW.JPG
"AB",BEESWIFT,"ARMBAND VISIBLE IDENTIFICATION","",,,,,,,,1,,1,CLICK MEDICAL,,,,,"WORKWEAR & CLOTHING/WORKWEAR/ACCESSORIES",1,6.23,6.23,1,https://www.beeswiftonline.com/Images/AB1.JPG
"ACSV",BEESWIFT,"ACRYLIC SWEATER","",,,,,,,,1,,1,CLICK KNITWEAR,,,,,"WORKWEAR & CLOTHING/WORKWEAR/SWEATSHIRTS FOR MEN",1,25.6,25.6,1,https://www.beeswiftonline.com/Images/ACSVBL.JPG
"AD029",RALAWISE,"WOMEN'S TEAMWEAR POLO","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR WOMEN",1,41,41,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad029_ls00_2020.jpg
"AD036",RALAWISE,"MEN'S PERFORMANCE POLO SHIRT","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,,,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad036_ls00_2020.jpg
"AD040",RALAWISE,"ADIDAS ULTIMATE 365 POLO","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,56.5,56.5,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad040_ls00_2020.jpg
"AD077",RALAWISE,"ADIDAS PERFORMANCE CAP","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/ACCESSORIES/BASEBALL CAP",1,23.25,23.25,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad077_ls00_2020.jpg
"AD078",RALAWISE,"ADIDAS CLIMACOOL TOUR CRESTABLE CAP","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/ACCESSORIES/BASEBALL CAP",1,34.25,34.25,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad078_ls00_20206.jpg
"AD113",RALAWISE,"3-PACK GOLD CREW SOCKS","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/ACCESSORIES/SOCKS",1,28,28,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad113_ls00_2020.jpg
"AD115",RALAWISE,"ADIDAS 2-COLOUR STRIPE POLO","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/POLO SHIRTS FOR MEN",1,54,54,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad115_ls00_2020.jpg
"AD116",RALAWISE,"CLASSIC CLUB ZIP SWEATER","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/SWEATSHIRTS FOR MEN",1,80,80,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad116_ls00_2020.jpg
"AD117",RALAWISE,"ADIDAS LIGHTWEIGHT ZIP SWEATER","",,,,,,,,1,,1,ADIDAS,,,,,"WORKWEAR & CLOTHING/CLOTHING/SWEATSHIRTS FOR MEN",1,75,75,1,https://shop.ralawise.com/globalassets/ralawise/ad/ad117_ls00_20206.jpg
"AM001",RALAWISE,"MEN'S ANTHEM HOODIE","",,,,,,,,1,,1,ANTHEM,,,,,"WORKWEAR & CLOTHING/CLOTHING/HOODIES FOR MEN",1,29.88,29.88,1,https://shop.ralawise.com/globalassets/ralawise/am/am001_ls02_20202.jpg
