sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images
"RSLQDWSDM250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 250ML","QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSDM25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSDM750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 750ML","QUICK DRYING WOODSTAIN SATIN DEEP MAHOGANY 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSDO250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DARK OAK 250ML","QUICK DRYING WOODSTAIN SATIN DARK OAK 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSDO25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DARK OAK 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN DARK OAK 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
"RSLQDWSDO750",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN DARK OAK 750ML","QUICK DRYING WOODSTAIN SATIN DARK OAK 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://franciskirk.shop/var/import/images/RSLQDWSDO750.jpg
"RSLQDWSE250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN EBONY 250ML","QUICK DRYING WOODSTAIN SATIN EBONY 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://franciskirk.shop/var/import/images/RSLQDWSE250.jpg
"RSLQDWSE25L",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN EBONY 2.5 LITRE","QUICK DRYING WOODSTAIN SATIN EBONY 2.5 LITRE",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,64.78,64.78,1,https://franciskirk.shop/var/import/images/RSLQDWSE25L.jpg
"RSLQDWSE750",TOOLBANK,"WOODSTAIN QUICK DRY SATIN EBONY 750ML","WOODSTAIN QUICK DRY SATIN EBONY 750ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,25.23,25.23,1,https://franciskirk.shop/var/import/images/RSLQDWSE750.jpg
"RSLQDWSM250",TOOLBANK,"QUICK DRYING WOODSTAIN SATIN MAHOGANY 250ML","QUICK DRYING WOODSTAIN SATIN MAHOGANY 250ML",,,,,,,,1,,1,RONSEAL,,,,,"TOOLS/DECORATING & WOOD CARE/STAINS, PRESERVERS & TREATMENTS/WOODSTAINS & WOOD PRESERVERS",1,12.13,12.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/RSLQDWSW25L.jpg
