sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
HB834C612,BRIGHTON BEST,"3/4"-10x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLO","3/4"-10x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLO",UNC,3/4",6-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,373.2,3.73,1,https://i.imgur.com/m784BDz.jpg,
HB834C7,BRIGHTON BEST,"3/4"-10x7"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","3/4"-10x7"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,3/4",7",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,413.98,4.14,1,https://i.imgur.com/m784BDz.jpg,
HB812F14,BRIGHTON BEST,"1/2"-20x14"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY","1/2"-20x14"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY",UNF,1/2",14",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,347.25,3.47,1,https://i.imgur.com/m784BDz.jpg,
C114I712,BRIGHTON BEST,"1 1/4"-12x7 1/2"(PT)HEX CAP SCREWS GRADE 8 FINE","1 1/4"-12x7 1/2"(PT)HEX CAP SCREWS GRADE 8 FINE",UNF,1-1/4",7-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,1274.13,12.74,1,https://i.imgur.com/m784BDz.jpg,
HB834F612,BRIGHTON BEST,"3/4"-16x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO","3/4"-16x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO",UNF,3/4",6-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,396.05,3.96,1,https://i.imgur.com/m784BDz.jpg,
HB834F7,BRIGHTON BEST,"3/4"-16x7"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY","3/4"-16x7"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY",UNF,3/4",7",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,306.08,3.06,1,https://i.imgur.com/m784BDz.jpg,
HB878C612,BRIGHTON BEST,"7/8"-9x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",6-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,524.45,5.24,1,https://i.imgur.com/m784BDz.jpg,
HB878C7,BRIGHTON BEST,"7/8"-9x7"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x7"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",7",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,302.13,3.02,1,https://i.imgur.com/m784BDz.jpg,
HB878C712,BRIGHTON BEST,"7/8"-9x7 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x7 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",7-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,559.93,5.6,1,https://i.imgur.com/m784BDz.jpg,
HB878C8,BRIGHTON BEST,"7/8"-9x8"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x8"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",8",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,653.8,6.54,1,https://i.imgur.com/m784BDz.jpg,
HB878C9,BRIGHTON BEST,"7/8"-9x9"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x9"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",9",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,581.08,5.81,1,https://i.imgur.com/m784BDz.jpg,
HB878C912,BRIGHTON BEST,"7/8"-9x9 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY","7/8"-9x9 1/2"(PT)HEXAGON BOLT GRADE 8 UNC ALLOY",UNC,7/8",9-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,691.2,6.91,1,https://i.imgur.com/m784BDz.jpg,
HB878F612,BRIGHTON BEST,"7/8"-14x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO","7/8"-14x6 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO",UNF,7/8",6-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,488.35,4.88,1,https://i.imgur.com/m784BDz.jpg,
HB878F7,BRIGHTON BEST,"7/8"-14x7"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY","7/8"-14x7"(PT)HEXAGON BOLT GRADE 8 UNF ALLOY",UNF,7/8",7",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,349.68,3.5,1,https://i.imgur.com/m784BDz.jpg,
HB878F712,BRIGHTON BEST,"7/8"-14x7 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO","7/8"-14x7 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO",UNF,7/8",7-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,409.43,4.09,1,https://i.imgur.com/m784BDz.jpg,
HB878F812,BRIGHTON BEST,"7/8"-14x8 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO","7/8"-14x8 1/2"(PT)HEXAGON BOLT GRADE 8 UNF ALLO",UNF,7/8",8-1/2",SELF COLOUR,GRADE 8.8,,,1,,100,IMPORTED,,,-,-,"HEXAGONAL PRODUCTS/HEXAGON BOLT/HEXAGON BOLT - 8.8 - SELF COLOUR",1,559.68,5.6,1,https://i.imgur.com/m784BDz.jpg,
