sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter,,
6MCI800,,,,,,,,,,,,,,,,,,,,,13.9,0.14,,,,,
6MCI854,,,,,,,,,,,,,,,,,,,,,14.73,0.15,,,,,
6MCP1037,,,,,,,,,,,,,,,,,,,,,23.55,0.24,,,,,
6MCP2S00,,,,,,,,,,,,,,,,,,,,,39.55,0.4,,,,,
6MCP4S00,,,,,,,,,,,,,,,,,,,,,70.18,0.7,,,,,
6MCP800,,,,,,,,,,,,,,,,,,,,,27.6,0.28,,,,,
6MCP854,,,,,,,,,,,,,,,,,,,,,21.28,0.21,,,,,
6MCV855,,,,,,,,,,,,,,,,,,,,,4.88,0.05,,,,,
8MCI2S00,,,,,,,,,,,,,,,,,,,,,53.7,0.54,,,,,
8MCI4S00,,,,,,,,,,,,,,,,,,,,,67.88,0.68,,,,,
8MCI800,,,,,,,,,,,,,,,,,,,,,18.35,0.18,,,,,
8MCI837,,,,,,,,,,,,,,,,,,,,,15.88,0.16,,,,,
8MCI854,,,,,,,,,,,,,,,,,,,,,15.88,0.16,,,,,
8MCP1037,,,,,,,,,,,,,,,,,,,,,26.33,0.26,,,,,
8MCP1054,,,,,,,,,,,,,,,,,,,,,26.33,0.26,,,,,
8MCP137,,,,,,,,,,,,,,,,,,,,,37.33,0.37,,,,,
8MCP2S00,,,,,,,,,,,,,,,,,,,,,67.13,0.67,,,,,
8MCP4S00,,,,,,,,,,,,,,,,,,,,,95,0.95,,,,,
8MCP800,,,,,,,,,,,,,,,,,,,,,26.08,0.26,,,,,
8MCP854,,,,,,,,,,,,,,,,,,,,,21.4,0.21,,,,,
8MCV855,,,,,,,,,,,,,,,,,,,,,5.85,0.06,,,,,
EFI137,,,,,,,,,,,,,,,,,,,,,19.33,0.19,,,,,
EUFI100,,,,,,,,,,,,,,,,,,,,,12.63,0.13,,,,,
EUFI137,,,,,,,,,,,,,,,,,,,,,14.23,0.14,,,,,
EUFI154,,,,,,,,,,,,,,,,,,,,,14.23,0.14,,,,,
EUFP137,,,,,,,,,,,,,,,,,,,,,22.83,0.23,,,,,
EUVS155,,,,,,,,,,,,,,,,,,,,,4.93,0.05,,,,,
FK42MCI800,,,,,,,,,,,,,,,,,,,,,22.5,0.23,,,,,
FKHUFI1037,,,,,,,,,,,,,,,,,,,,,32.5,0.33,,,,,
GFI100,,,,,,,,,,,,,,,,,,,,,82.48,0.82,,,,,
GFI137,,,,,,,,,,,,,,,,,,,,,24.98,0.25,,,,,
GUCI137,,,,,,,,,,,,,,,,,,,,,29.95,0.3,,,,,
GUFI100,,,,,,,,,,,,,,,,,,,,,19.48,0.19,,,,,
GUFI137,,,,,,,,,,,,,,,,,,,,,20.8,0.21,,,,,
GUFI155,,,,,,,,,,,,,,,,,,,,,20.8,0.21,,,,,
GUFJ100,,,,,,,,,,,,,,,,,,,,,29.95,0.3,,,,,
GUFJ137,,,,,,,,,,,,,,,,,,,,,31.75,0.32,,,,,
GUFP137,,,,,,,,,,,,,,,,,,,,,28.38,0.28,,,,,
GWI137,,,,,,,,,,,,,,,,,,,,,24.25,0.24,,,,,
H2UCI100,,,,,,,,,,,,,,,,,,,,,1271.53,12.72,,,,,
H2UCJ100,,,,,,,,,,,,,,,,,,,,,1626.1,16.26,,,,,
JFI137,,,,,,,,,,,,,,,,,,,,,35.55,0.36,,,,,
JUCI137,,,,,,,,,,,,,,,,,,,,,34.48,0.34,,,,,
JUFI100,,,,,,,,,,,,,,,,,,,,,33.6,0.34,,,,,
JUFI137,,,,,,,,,,,,,,,,,,,,,34.63,0.35,,,,,
JUFJ137,,,,,,,,,,,,,,,,,,,,,39.75,0.4,,,,,
JUFP4S00,,,,,,,,,,,,,,,,,,,,,145,1.45,,,,,
JUVS137,,,,,,,,,,,,,,,,,,,,,6.4,0.06,,,,,
