sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
"INT177409",TOOLBANK,"TLM 50 LASER MEASURER 15M","TLM 50 LASER MEASURER 15M",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,90.25,90.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177409.jpg,
"INT177498",TOOLBANK,"CUBIX CROSS LINE LASER LEVEL (RED BEAM)","CUBIX CROSS LINE LASER LEVEL (RED BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,104.43,104.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177498.jpg,
"INT177499",TOOLBANK,"CUBIX CROSS LINE LASER LEVEL (GREEN BEAM)","CUBIX CROSS LINE LASER LEVEL (GREEN BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,172.83,172.83,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177499.jpg,
"INT177502",TOOLBANK,"CROSS90 LASER (RED BEAM)","CROSS90 LASER (RED BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,187.88,187.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177502.jpg,
"INT177504",TOOLBANK,"360 CROSS LINE LASER (RED BEAM)","360 CROSS LINE LASER (RED BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,263.03,263.03,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177504.jpg,
"INT177592",TOOLBANK,"CROSS90 LASER (GREEN BEAM)","CROSS90 LASER (GREEN BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,263.03,263.03,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177592.jpg,
"INT177594",TOOLBANK,"360 CROSS LINE LASER (GREEN BEAM)","360 CROSS LINE LASER (GREEN BEAM)",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,323.13,323.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT177594.jpg,
"INT582568",TOOLBANK,"FATMAX UK WALL PLUG TESTER","FATMAX UK WALL PLUG TESTER",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/DETECTORS & TESTERS",1,24.05,24.05,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT582568.jpg,
"INT977425",TOOLBANK,"POCKET TLM 30 LASER MEASURE 9M","POCKET TLM 30 LASER MEASURE 9M",,,,,,,,1,,1,STANLEY INTELLI TOOLS,,,,,"TOOLS/HAND TOOLS/LEVELS - LASER & ELECTRONIC DEVICES",1,50.3,50.3,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/INT977425.jpg,
"IRW10",TOOLBANK,"IRWIN BI-METAL HIGH SPEED HOLESAW","The IRWIN bi-metal holesaws have been designed for the professional and made to provide long-lasting performance for use in general construction, electrical installation, plumbing, heating and ventilation, and remodelling applications.

The sharp, variable tooth (4-6 pitch) design provides a faster cutting action and enhanced performance in a variety of materials and cutting applications.

The bi-metal construction and the electron beam welded teeth give the user a stronger, longer-lasting blade.

The IRWIN holesaw range is available from sizes 14 mm (9/16in) to 152 mm (6in), with a line up of high-quality arbors and a pilot drill to cover all application requirements.

Cuts a variety of materials including: aluminium, copper, iron, stainless steel, wood and zinc.",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/HOLESAWS & ACCESSORIES",1,29.48,29.48,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10504161.jpg,

"IRW10501812",TOOLBANK,"MASONRY DRILL BIT 3.00 X 70MM","MASONRY DRILL BIT 3.00 X 70MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.58,2.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501813",TOOLBANK,"MASONRY DRILL BIT 3.5 X 75MM","MASONRY DRILL BIT 3.5 X 75MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.58,2.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501814",TOOLBANK,"MASONRY DRILL BIT 4.0 X 80MM","MASONRY DRILL BIT 4.0 X 80MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.58,2.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501815",TOOLBANK,"MASONRY DRILL BIT 4.0 X 160MM","MASONRY DRILL BIT 4.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,3.13,3.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501817",TOOLBANK,"MASONRY DRILL BIT 5.0 X 90MM","MASONRY DRILL BIT 5.0 X 90MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.53,2.53,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501818",TOOLBANK,"MASONRY DRILL BIT 5.0 X 160MM","MASONRY DRILL BIT 5.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,3.33,3.33,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501819",TOOLBANK,"MASONRY DRILL BIT 5.5 X 95MM","MASONRY DRILL BIT 5.5 X 95MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.7,2.7,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501820",TOOLBANK,"MASONRY DRILL BIT 5.5 X 160MM","MASONRY DRILL BIT 5.5 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,3.65,3.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501821",TOOLBANK,"MASONRY DRILL BIT 6.0 X 100MM","MASONRY DRILL BIT 6.0 X 100MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.98,2.98,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501822",TOOLBANK,"MASONRY DRILL BIT 6.0 X 160MM","MASONRY DRILL BIT 6.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.05,4.05,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501823",TOOLBANK,"MASONRY DRILL BIT 6.0 X 330MM","MASONRY DRILL BIT 6.0 X 330MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,9.25,9.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501824",TOOLBANK,"MASONRY DRILL BIT 6.0 X 400MM","MASONRY DRILL BIT 6.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,11.93,11.93,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501826",TOOLBANK,"MASONRY DRILL BIT 6.5 X 105MM","MASONRY DRILL BIT 6.5 X 105MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,2.98,2.98,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501827",TOOLBANK,"MASONRY DRILL BIT 6.5 X 160MM","MASONRY DRILL BIT 6.5 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.13,4.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501830",TOOLBANK,"MASONRY DRILL BIT 7.0 X 100MM","MASONRY DRILL BIT 7.0 X 100MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,3.13,3.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501831",TOOLBANK,"MASONRY DRILL BIT 7.0 X 160MM","MASONRY DRILL BIT 7.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.48,4.48,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501834",TOOLBANK,"MASONRY DRILL BIT 8.0 X 120MM","MASONRY DRILL BIT 8.0 X 120MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,3.6,3.6,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501835",TOOLBANK,"MASONRY DRILL BIT 8.0 X 160MM","MASONRY DRILL BIT 8.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.6,4.6,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501836",TOOLBANK,"MASONRY DRILL BIT 8.0 X 200MM","MASONRY DRILL BIT 8.0 X 200MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,5.98,5.98,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501837",TOOLBANK,"MASONRY DRILL BIT 8.0 X 330MM","MASONRY DRILL BIT 8.0 X 330MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,10.4,10.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501838",TOOLBANK,"MASONRY DRILL BIT 8.0 X 400MM","MASONRY DRILL BIT 8.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,12.65,12.65,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501841",TOOLBANK,"MASONRY DRILL BIT 9.0 X 130MM","MASONRY DRILL BIT 9.0 X 130MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.28,4.28,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501846",TOOLBANK,"MASONRY DRILL BIT 10.0 X 120MM","MASONRY DRILL BIT 10.0 X 120MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,5.38,5.38,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501847",TOOLBANK,"MASONRY DRILL BIT 10.0 X 160MM","MASONRY DRILL BIT 10.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,6.08,6.08,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501849",TOOLBANK,"MASONRY DRILL BIT 10.0 X 330MM","MASONRY DRILL BIT 10.0 X 330MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,10.95,10.95,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501850",TOOLBANK,"MASONRY DRILL BIT 10.0 X 400MM","MASONRY DRILL BIT 10.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,15.15,15.15,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501853",TOOLBANK,"MASONRY DRILL BIT 11.0 X 160MM","MASONRY DRILL BIT 11.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,5.98,5.98,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501854",TOOLBANK,"MASONRY DRILL BIT 12.0 X 160MM","MASONRY DRILL BIT 12.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,7.13,7.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501855",TOOLBANK,"MASONRY DRILL BIT 12.0 X 330MM","MASONRY DRILL BIT 12.0 X 330MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,14.4,14.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501859",TOOLBANK,"MASONRY DRILL BIT 13.0 X 160MM","MASONRY DRILL BIT 13.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,8.05,8.05,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501862",TOOLBANK,"MASONRY DRILL BIT 14.0 X 160MM","MASONRY DRILL BIT 14.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,10.25,10.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501863",TOOLBANK,"MASONRY DRILL BIT 14.0 X 330MM","MASONRY DRILL BIT 14.0 X 330MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,16.93,16.93,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501864",TOOLBANK,"MASONRY DRILL BIT 14.0 X 400MM","MASONRY DRILL BIT 14.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,20.58,20.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501866",TOOLBANK,"MASONRY DRILL BIT 15.0 X 160MM","MASONRY DRILL BIT 15.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,11.53,11.53,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501867",TOOLBANK,"MASONRY DRILL BIT 16.0 X 160MM","MASONRY DRILL BIT 16.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,13.25,13.25,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501869",TOOLBANK,"MASONRY DRILL BIT 16.0 X 400MM","MASONRY DRILL BIT 16.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,21.88,21.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501873",TOOLBANK,"MASONRY DRILL BIT 18.0 X 160MM","MASONRY DRILL BIT 18.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,18.48,18.48,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501874",TOOLBANK,"MASONRY DRILL BIT 18.0 X 400MM","MASONRY DRILL BIT 18.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,23.4,23.4,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501878",TOOLBANK,"MASONRY DRILL BIT 20.0 X 160MM","MASONRY DRILL BIT 20.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,25.13,25.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501880",TOOLBANK,"MASONRY DRILL BIT 20.0 X 400MM","MASONRY DRILL BIT 20.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,28.18,28.18,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501882",TOOLBANK,"MASONRY DRILL BIT 22.0 X 160MM","MASONRY DRILL BIT 22.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,24.13,24.13,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501884",TOOLBANK,"MASONRY DRILL BIT 22.0 X 400MM","MASONRY DRILL BIT 22.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,31.23,31.23,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501885",TOOLBANK,"MASONRY DRILL BIT 24.0 X 160MM","MASONRY DRILL BIT 24.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,30.43,30.43,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501886",TOOLBANK,"MASONRY DRILL BIT 24.0 X 400MM","MASONRY DRILL BIT 24.0 X 400MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,31.23,31.23,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501820.jpg,
"IRW10501893",TOOLBANK,"MASONRY DRILL BIT SET 7 PIECE 4-12MM","MASONRY DRILL BIT SET 7 PIECE 4-12MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,27.08,27.08,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501893.jpg,
"IRW10501894",TOOLBANK,"GRANITE DRILL BIT 3.0 X 70MM","GRANITE DRILL BIT 3.0 X 70MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,4.38,4.38,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501895",TOOLBANK,"GRANITE DRILL BIT 3.5 X 75MM","GRANITE DRILL BIT 3.5 X 75MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,4.45,4.45,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501896",TOOLBANK,"GRANITE DRILL BIT 4.0 X 80MM","GRANITE DRILL BIT 4.0 X 80MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,4.45,4.45,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501897",TOOLBANK,"GRANITE DRILL BIT 5.0 X 90MM","GRANITE DRILL BIT 5.0 X 90MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,4.78,4.78,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501901",TOOLBANK,"GRANITE DRILL BIT 6.0 X 100MM","GRANITE DRILL BIT 6.0 X 100MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,5.45,5.45,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501903",TOOLBANK,"GRANITE DRILL BIT 6.5 X 105MM","GRANITE DRILL BIT 6.5 X 105MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,5.88,5.88,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501905",TOOLBANK,"GRANITE DRILL BIT 7.0 X 110MM","GRANITE DRILL BIT 7.0 X 110MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,6.18,6.18,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501906",TOOLBANK,"GRANITE DRILL BIT 7.0 X 160MM","GRANITE DRILL BIT 7.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,8,8,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501907",TOOLBANK,"GRANITE DRILL BIT 8.0 X 120MM","GRANITE DRILL BIT 8.0 X 120MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,6.55,6.55,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501911",TOOLBANK,"GRANITE DRILL BIT 10.0 X 140MM","GRANITE DRILL BIT 10.0 X 140MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,7.9,7.9,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501912",TOOLBANK,"GRANITE DRILL BIT 10.0 X 200MM","GRANITE DRILL BIT 10.0 X 200MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,10.58,10.58,1,https://toolmedia-res.cloudinary.com/image/upload/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501914",TOOLBANK,"GRANITE DRILL BIT 12.0 X 160MM","GRANITE DRILL BIT 12.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,10.13,10.13,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501916",TOOLBANK,"GRANITE DRILL BIT 14.0 X 160MM","GRANITE DRILL BIT 14.0 X 160MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,12.6,12.6,1,https://toolmedia-res.cloudinary.com/image/private/w_640/toolbank/products/IRW10501899.jpg,
"IRW10501918",TOOLBANK,"GRANITE DRILL BIT SET 7 PIECE 4-12MM","GRANITE DRILL BIT SET 7 PIECE 4-12MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - GLASS, TILE, CORE & DIAMOND",1,26.38,26.38,1,https://franciskirk.shop/var/import/images/IRW10501918.jpg,
"IRW10501919",TOOLBANK,"CORDLESS MULTI-PURPOSE DRILL BIT 3.0 X 110MM","CORDLESS MULTI-PURPOSE DRILL BIT 3.0 X 110MM",,,,,,,,1,,1,IRWIN,,,,,"TOOLS/POWER TOOL ACCESSORIES/DRILL BITS - MASONRY & SDS",1,4.53,4.53,1,https://franciskirk.shop/var/import/images/IRW10501919.jpg,
