sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
CB10,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB14,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB15,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB16,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB17,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB18,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB19,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB8,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
CB9,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET SET SCREWS/CUP POINT",1,,,,
MEMCAP10100,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP10100Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP10120Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1016Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1020,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1025,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1030,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1030Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1035,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1035Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1040,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1040Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1045,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1045Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1050,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1050Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1060,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1060Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1065Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1070,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1070Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1080,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1080Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12100,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12100Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12110,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12120Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12130,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP12180,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1225,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1225Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1230,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1230Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1235,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1235Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1240,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1240Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1245,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1245Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1250,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
MEMCAP1250Z,,,,,,,,,,,,,,,,,,,"SOCKET PRODUCTS/SOCKET CAP",1,,,,
